school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
8316,16.7,,,2022
8314,,,,2019
8314,,56.9,39.6,2021
8314,,71.7,,2022
8314,21.4,28.6,15.4,2018
8314,,,,2017
8314,,,,2016
8312,45,68.5,50.5,2018
8312,44.3,76.1,54.7,2017
8312,45.1,,51.8,2019
8312,39.1,50,,2021
8312,31,,39.5,2022
8312,,,48.3,2016
8308,,,,2021
8308,,,,2022
8308,3.2,10,3.6,2018
8308,4.4,21.4,0,2017
8308,1.9,14.3,0,2016
8308,2.6,8.8,2.9,2019
8307,51.4,62.9,,2019
8307,74.4,90.1,,2016
8305,37.9,56.2,33.5,2019
8305,39.5,33.3,36.4,2021
8305,38.8,64.5,35.7,2022
8305,47.1,62.1,34.3,2018
8305,47.8,68.5,33.8,2017
8305,51.6,64.5,33.6,2016
8304,35.8,66,47.2,2018
8304,46.2,68.3,44.7,2017
8304,35.6,65.1,46.2,2019
8304,34.6,,0,2021
8304,31.3,,40.7,2022
8304,43.2,62.1,37.5,2016
8303,14.1,41.2,14.3,2018
8303,8.2,15,8,2017
8303,14.7,39.8,11.1,2016
8303,11.7,17.5,10.7,2019
8303,20,,29.3,2021
8300,33.3,54.5,29.2,2018
8300,25,54.5,12.5,2017
8300,30.6,48.6,19.4,2016
8300,31.3,62.5,31.3,2019
8300,12.5,,,2021
8300,,,0,2022
8298,1.9,32.6,4.8,2018
8298,5.6,,19.6,2021
8298,18.2,12.8,,2022
8298,3.7,20.5,3,2017
8298,53.5,37.5,12.5,2016
8298,10.8,68.7,13.6,2019
8293,34,41.8,18.9,2018
8293,14.6,,,2021
8293,,27.7,0,2022
8293,13.3,30.4,11.5,2017
8293,25,31.3,12.8,2016
8293,28.8,48.6,21.3,2019
8278,55.6,67.8,69.6,2019
8278,38.2,,28.7,2021
8278,29.6,65.9,20.8,2022
8278,54,72.5,54,2018
8278,54.3,74.5,68.1,2017
8278,54.3,76.1,54.3,2016
8274,,73.2,37.5,2018
8274,59,75.1,32.4,2017
8274,33.3,,,2021
8274,15.3,39.7,40,2022
8274,72,68.6,36.5,2016
8274,50,72.7,42.8,2019
8258,34,45.7,24.4,2018
8258,6.3,57.1,6.8,2019
8258,2.2,,18.2,2021
8258,,19.4,,2022
8244,52.8,52.9,46,2019
8244,40.4,31.3,,2021
8244,19,46.6,28.3,2022
8244,54.8,66.7,43.9,2018
8244,58.7,74.1,44.8,2017
8244,44.9,73.4,41,2016
8231,32.4,46.2,23.6,2018
8231,25.2,44.7,20.9,2017
8231,37.1,51.8,23.1,2016
8231,29.6,57.4,16.5,2019
8231,17.3,,,2021
8231,21.7,,19.5,2022
8224,44.6,68,32,2018
8224,50.3,60.7,32.5,2017
8224,62.5,71.9,43.8,2016
8224,33.6,,33.6,2019
8224,56.1,,,2021
8224,20.6,65.6,,2022
8217,46.5,36.8,5.6,2016
8217,35.8,61.9,23.1,2019
8217,9.4,16.7,7.1,2018
8217,5.9,27.6,0,2017
8216,15.3,42.1,26.3,2018
8216,26.7,53.3,26.7,2017
8216,2.3,,35.1,2021
8216,3.8,54.1,,2022
8216,10.5,57.7,13.6,2019
8216,30.9,,,2016
8210,60.8,72.5,6.7,2016
8207,19.2,,,2021
8207,0.9,,7.1,2022
8207,33,35,14,2019
8207,25,25.2,9.7,2018
8207,16.1,24.5,9.7,2017
8207,58.2,36.8,16.3,2016
8205,,20.1,8.4,2018
8205,15.1,20.5,6.2,2017
8205,1.4,,3.6,2021
8205,2.6,51.1,38.5,2022
8205,42.5,33.7,15.3,2016
8205,64.7,58.3,7.9,2019
8203,8.3,25.3,12.5,2018
8203,14.1,18.5,13.1,2017
8203,19.3,23.2,6.9,2016
8203,17.9,30.7,10.1,2019
8203,3,,3.6,2021
8203,0,15.2,4.8,2022
8195,17.8,29.3,14.5,2017
8195,20.5,,,2021
8195,,8.2,,2022
8195,33.8,38.2,7.5,2016
8195,26.8,40,18.5,2019
8195,58.9,30.4,24.3,2018
8187,22.4,56.9,35.6,2017
8187,,,43.9,2019
8187,,,40.7,2016
8187,43.5,,22.5,2021
8187,18.3,69.6,,2022
8187,49.4,55.3,40.6,2018
8174,18.9,48.4,3.7,2018
8174,25.8,69.6,9.3,2017
8174,36,63.5,2.8,2016
8174,22.2,68.9,8.7,2019
8174,25.3,,0,2021
8174,35.6,33.3,23.8,2022
8161,46.2,70.8,18.2,2019
8161,37.7,27.3,9.1,2018
8161,16.7,33.3,33.3,2017
8161,,,,2021
8161,,9.1,29.9,2022
8161,56.5,,,2016
8155,4.3,9.8,0,2018
8155,15.3,34,5.6,2017
8155,7.7,9.5,0,2016
8155,4.7,34.1,8.9,2019
8154,33.3,50,27.8,2018
8154,47.1,52.9,41.2,2017
8154,42.1,63.2,31.6,2016
8154,14.3,50,7.1,2019
8154,41.7,,,2021
8148,34.9,46.7,2.6,2019
8148,35.4,34.1,4.5,2018
8148,,,51.4,2021
8148,0,60.5,9.6,2022
8148,3.4,28.6,3.7,2017
8148,23.4,34.4,3.2,2016
8143,18.8,8.9,1.8,2016
8131,52.6,,,2021
8131,,65.6,,2022
8129,22.6,55.4,20,2019
8129,47.8,,,2021
8129,,30.2,15.8,2022
8129,42.3,71.7,26.5,2018
8129,33.8,53,23.4,2017
8129,43.3,50.8,17.7,2016
8127,21.1,48.9,24.4,2018
8127,16.9,52.5,10.2,2017
8127,18.6,61.8,36.4,2016
8127,3.8,51.5,24.3,2019
8126,21.7,43,29,2018
8126,19.6,33,20.7,2017
8126,16.5,,50,2021
8126,28.6,50.6,22.1,2016
8126,42.6,62.6,25.3,2019
8125,42.3,72.7,43.6,2018
8125,20,71.6,41.2,2021
8125,6.3,56.6,23.7,2022
8125,67.2,73.1,49.2,2017
8125,6.3,14.3,37.2,2019
8125,16,43.5,51,2016
8117,,,,2017
8116,35.8,53.3,30.3,2018
8116,43.3,57.1,30.9,2017
8116,48.1,59.9,37.9,2016
8116,32.1,44.3,29,2019
8116,18.5,,30.8,2021
8116,37.3,78.8,,2022
8114,53.3,71.7,39.1,2016
8110,26.9,31.9,8.2,2018
8110,28.4,25.4,3.1,2017
8110,22.1,32.3,8.7,2016
8110,22.2,26.7,7.3,2019
8110,4.3,,,2021
8110,,12.9,,2022
8107,47.7,79.1,55.8,2019
8107,43.7,26.7,33.3,2021
8107,62.1,62,11.6,2022
8107,66.7,88.5,55.1,2018
8107,70,84.3,51.4,2017
8107,67.4,85.4,60.7,2016
8106,51.2,69.9,41.6,2018
8106,53.9,75.9,43.3,2017
8106,45.4,70.9,34.8,2016
8106,47.7,59.4,40.6,2019
8106,50.8,,49.2,2021
8106,52.9,63.1,,2022
8105,54.3,74.1,36.2,2018
8105,55.6,68.4,35.3,2017
8105,61.9,85.6,43.8,2016
8105,54.6,66.4,40.3,2019
8105,28.4,,31.8,2021
8105,57.7,56.6,,2022
8094,30,53.8,32.5,2018
8094,20.4,38.8,14,2017
8094,51.3,63.2,35.9,2016
8094,43.2,50,37.1,2019
8094,22.4,,15.8,2021
8094,,24.1,,2022
8093,48.4,61.8,29.4,2018
8093,40.5,51.8,30.4,2017
8093,45.5,,10.9,2021
8093,46.2,61.5,11.9,2022
8093,66.7,76,36.4,2016
8093,37.3,65.7,43.8,2019
8087,25.6,51.3,25.6,2018
8087,32.6,58.7,32.6,2017
8087,50,68.4,47.4,2016
8087,28.3,45.7,39.1,2019
8087,31.4,,26.9,2021
8087,28.6,40,20,2022
8086,31.9,40.8,8.5,2018
8086,27.1,39,15.3,2017
8086,26.8,57.7,18.6,2016
8086,23.4,34,8.9,2019
8086,19,,32.1,2021
8086,0,48.3,,2022
8083,27,51.5,15.6,2018
8083,37.5,55,15,2017
8083,10,,39.4,2021
8083,,8,,2022
8083,67.5,51.1,17.4,2016
8083,28.2,59.7,22,2019
8071,45.4,69.6,37.5,2018
8071,48.7,66.6,38.6,2017
8071,39.1,73.6,44.7,2016
8071,35.7,69.6,41.8,2019
8071,25.2,,41.5,2021
8071,10.5,62.1,37,2022
8049,31.1,,33.7,2021
8049,38.1,35.7,,2022
8049,42.1,65.8,34.2,2017
8049,49.1,74.4,56.1,2016
8049,34.2,56.3,46.5,2019
8049,37.3,70,44,2018
8044,43.3,73.2,44.9,2018
8044,53.6,77.4,43.4,2017
8044,54.9,78.3,48.1,2016
8044,48.8,74.4,41.3,2019
8044,33.3,8.2,46.3,2021
8044,20.4,62.9,31.3,2022
8041,49.6,36.4,5.6,2018
8041,43.3,27.1,7,2017
8041,45.7,27.5,3.9,2016
8039,44.2,78.9,62.1,2019
8039,59,76.1,58.6,2018
8039,50.3,82.2,64.2,2017
8039,33.3,,38.7,2021
8039,41.3,10.1,1.4,2022
8039,74.5,80.4,62.6,2016
8000,20.5,54.5,36.4,2019
8000,31.7,,55.6,2021
8000,30.8,67,,2022
8000,48.9,58.5,51.1,2018
8000,43.8,40.8,34.7,2017
8000,66,65.3,36.7,2016
7981,36.7,40.5,36.7,2018
7981,45.9,56.1,45.9,2017
7981,20.8,,36.4,2021
7981,7.1,54.3,16.3,2022
7981,8.3,65.9,24.7,2016
7981,18.8,15.8,43.6,2019
7961,27.3,,,2021
7961,1.7,,32.8,2022
7961,19.2,32.8,34.5,2019
7961,24.8,65.3,29.6,2018
7961,33.3,62.2,28.7,2017
7961,50.6,65,29,2016
7948,48.6,70.7,47.1,2018
7948,56.1,74.3,46.7,2017
7948,53,72.5,49,2016
7948,44.8,71.3,47.7,2019
7948,55.8,36.1,27.5,2021
7948,5.4,57.9,30.9,2022
7944,56.7,67.3,51.9,2018
7944,65,68.9,48,2017
7944,48.8,52.6,39.5,2019
7944,29.7,,44.7,2021
7944,45.8,55.9,,2022
7944,53.7,61,51.7,2016
7941,28.2,69.7,47.3,2018
7941,41.3,73.8,46,2017
7941,50,78.3,33.3,2016
7941,42.3,70.8,43.4,2019
7941,34.3,,,2021
