school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
7634,44,81.2,65.1,2018
7634,65.1,85.3,71.1,2017
7634,42.1,,,2021
7634,45.8,68.9,34.8,2022
7634,45.9,83.9,53.3,2016
7634,41.8,80.4,50.7,2019
7629,44.4,66.7,29.6,2017
7629,58.7,70.5,35.3,2016
7628,44.7,61.2,34.1,2018
7628,40.3,68.9,35.6,2017
7628,57.7,68.6,45.1,2016
7628,52.6,45.3,38.4,2019
7628,21.5,,10.2,2021
7628,43.8,59.4,25.8,2022
7589,35.2,69.2,35.5,2019
7589,42.1,,36.4,2021
7589,9.7,30.5,,2022
7589,35.9,58.6,39.4,2018
7589,39.8,56.5,32.4,2017
7589,36,60.1,36.7,2016
7588,16.4,43.4,23.2,2018
7588,19.5,47.3,19.2,2017
7588,36.4,,51.6,2021
7588,18.3,43,6.6,2022
7588,22.8,61.5,34.1,2016
7588,34.9,53.6,30.1,2019
7587,45.3,,8.8,2021
7587,14.5,32.2,,2022
7587,41.8,66.7,31.3,2017
7587,43.1,68.8,36.7,2016
7587,7.6,60,50,2019
7587,62.3,74.4,47.6,2018
7586,6.8,69.1,45.2,2018
7586,50.4,71.1,49.1,2017
7586,18.6,,,2021
7586,54.3,0,,2022
7586,61.8,73.5,49.6,2016
7586,22.7,86.7,17,2019
7582,54,23.9,10.1,2018
7582,6.9,,,2021
7582,,67,16.5,2022
7582,11.7,15.6,3.9,2017
7582,16.7,58.3,7,2019
7582,50,45.5,21.2,2016
7578,4.7,58.4,4.8,2019
7578,11.4,16,9.3,2018
7578,26.1,22.2,11,2017
7578,8.7,41.1,24.8,2016
7574,20.2,78.2,42.6,2018
7574,39.8,69.3,37.3,2017
7574,36.3,,33.8,2021
7574,6.7,,29.1,2022
7574,33.9,84.7,51,2016
7574,52.2,63.3,39.6,2019
7568,42.9,56.1,36.8,2018
7568,61.4,77.3,58.1,2017
7568,46.3,59.7,44.1,2019
7568,44.9,,52.9,2021
7568,35.1,64.8,34.6,2022
7567,,,18.2,2018
7567,28.6,50,35.7,2017
7567,40,63.2,15.8,2016
7567,,70.9,9.1,2019
7567,43.8,,,2021
7567,,34,14.3,2022
7562,10,28.6,17.1,2019
7562,12.1,10.5,45.1,2021
7562,,61.6,,2022
7562,15.4,32.5,18.4,2018
7562,27.9,53.5,23.3,2017
7562,36.6,61,22,2016
7550,36.5,,,2018
7550,,,,2021
7550,,,22.6,2022
7550,49.3,42.9,7.1,2017
7550,56.5,,,2016
7550,38.7,57.3,69.2,2019
7546,43.8,86,32,2018
7546,27.1,26.1,0,2021
7546,,42.1,2.8,2022
7546,57.4,77.8,50,2017
7546,20.9,67.3,36.7,2016
7546,20.4,31,37.3,2019
7544,,,,2018
7542,26.3,21.3,6.1,2018
7542,9.8,35.8,8.8,2017
7542,0,,0,2021
7542,8.3,,25.7,2022
7542,60.7,58.6,21,2016
7542,50.7,45.3,12.9,2019
7540,,57.3,32.1,2019
7540,27.3,62.9,29.4,2018
7540,6.3,,28.6,2021
7540,,26.7,33.3,2022
7540,40.7,58.9,50.8,2017
7540,34,83.2,56.4,2016
7538,35,64.3,40,2019
7538,6.3,,,2021
7538,,59.5,,2022
7538,20,24,0,2018
7538,12,36,3.8,2017
7538,33.2,65.7,11.1,2016
7517,,,,2018
7515,41.4,31,49.8,2019
7515,48.9,,47.9,2021
7515,30.8,60,36.1,2022
7515,53.8,82.1,53.8,2018
7515,59.7,77,49.5,2017
7515,65.1,85.1,44.7,2016
7512,8.6,31,6,2017
7512,10.8,31.6,7.8,2016
7510,11.1,50,50,2018
7510,13.6,,,2021
7510,4,56,6,2022
7510,39.9,60.1,42.8,2017
7510,50.6,57.4,41,2016
7510,39.6,11.9,30,2019
7506,47.2,18.5,7.1,2018
7506,0,,36,2021
7506,0,52.6,34.3,2022
7506,6.1,19.6,10.2,2017
7506,77.3,77.3,6.7,2016
7506,46.5,67.4,13,2019
7425,,,,2018
7425,,,,2017
7425,,,,2016
7354,,,,2018
7348,43.6,49.8,27.1,2018
7348,32.6,51.6,26.1,2017
7348,32.6,52.9,54.2,2021
7348,15.3,62.2,43.8,2022
7348,22.2,22.2,35.2,2016
7348,6.7,49.5,30.8,2019
7294,42.9,40.7,22,2017
7294,53.1,57.9,31.3,2016
7293,17.2,25,17.6,2018
7293,22.9,45.7,24.4,2016
7293,9.4,62.7,16.1,2019
7293,23.1,0,16,2021
7293,,44.7,,2022
7292,,,,2018
7292,,63.6,46.1,2021
7292,,66.5,40.6,2022
7291,63.6,,,2018
7291,,,33.3,2021
7291,,57.1,,2022
7291,35.8,74.4,,2019
7290,,,,2018
7290,,58.4,,2019
7290,54.2,69.7,,2016
7274,,,,2018
7255,34.6,15.6,5.7,2018
7255,16.4,22,7,2017
7255,,15.2,5.6,2022
7255,13.3,35.3,5.9,2016
7255,48.7,7.7,9.1,2019
7245,10.8,14,4.3,2018
7245,1.5,,,2021
7245,,59.5,24.8,2022
7245,2.7,12.9,3.1,2017
7245,46.9,26.6,4.1,2016
7245,8,40,10.8,2019
7229,4,73.7,63.6,2018
7229,47.1,64,40,2017
7229,25.3,,10,2021
7229,4.3,17,4.4,2022
7229,64.2,78.9,57.9,2016
7229,60.6,82.8,52.5,2019
7192,,72.2,,2019
7192,,,,2021
7192,,,,2018
7192,56,76,,2016
7136,38.5,57.7,40.4,2018
7136,27.3,51.5,36.4,2017
7136,55.8,43.1,31,2016
7112,58.7,75.8,39.7,2016
7112,45.2,53.8,37.5,2018
7112,35,57.4,29,2017
7112,34.6,73.7,48.2,2019
7112,31.3,32.3,54.5,2021
7112,6.7,59.1,33.3,2022
7106,,,,2021
7106,,68.8,36.5,2022
7106,56.8,,,2016
7106,51.7,76.9,,2019
7106,62.9,7.7,7.7,2018
7101,31.3,66.4,37.4,2018
7101,39.5,66.5,45.8,2017
7101,44.1,70.4,47.2,2016
7101,39.6,61.6,39.8,2019
7101,40.6,,28.7,2021
7101,37.1,61.2,26.1,2022
7096,,,,2019
7096,,,46.9,2021
7096,,,,2018
7096,57.1,77.3,55,2016
7072,13,43.2,12.9,2018
7072,22.3,36,4.5,2017
7072,17.8,,29.4,2021
7072,13.8,15.5,12.7,2022
7072,14.7,52.7,15.3,2016
7072,7.7,20.6,14.7,2019
7070,21.3,80.8,53,2018
7070,54.8,78.8,58.3,2017
7070,40.5,,,2021
7070,40.6,11.3,29.2,2022
7070,56.8,94.2,74.5,2016
7070,50.7,12.6,45.3,2019
7068,,6.7,33.3,2021
7068,,51.7,,2022
7068,,,,2018
7068,,,,2016
7067,,,,2016
7067,,56.9,,2019
7067,,,42.9,2021
7066,,,,2016
7058,15.4,27.3,,2018
7058,,25,18.2,2016
7058,27.3,57,,2019
7058,,4.3,12.5,2021
7058,,42.9,37.3,2022
7057,25,25,33.3,2018
7057,18.2,18.2,0,2016
7057,10,27.3,11.1,2019
7032,,57.8,,2019
7032,,37.3,33.9,2022
7032,68.3,73.5,,2016
7030,,,,2018
7023,38.8,85.8,67.1,2018
7023,49.3,74.8,55.6,2017
7023,57.2,,14,2021
7023,30.3,51.6,38.2,2022
7023,70.8,89.6,52.8,2016
7023,51.4,33.3,63.4,2019
7019,50,60,52.2,2018
7019,29.6,59.9,33,2017
7019,41.3,,35.1,2021
7019,34.3,57.5,32.9,2022
7019,51.8,66.3,50.5,2016
7019,41.3,,47.3,2019
7013,40.6,,,2018
7013,,45.8,,2022
7013,55.7,68.3,,2016
7013,42.6,64.4,,2019
7012,27.1,56.8,31.8,2017
7012,,79.2,36.5,2016
6999,27.3,0,,2019
6999,,28.7,33,2021
6999,,63.8,23.3,2022
6999,,,,2018
6999,,,,2016
6998,6.7,33.3,0,2017
6998,6.1,,51.2,2021
6998,29.4,35,15,2018
6998,46.4,72.7,21.1,2016
6998,37.8,61.7,,2019
6996,7.7,68.8,39.4,2018
6996,29.6,,9,2021
6996,34.3,84.6,1.7,2022
6996,52.1,71.5,37.1,2017
6996,47.8,82.9,40.8,2016
6996,29.2,52.3,35.2,2019
6985,,,,2019
6985,,0,41.9,2021
6985,,67.1,,2022
6985,,,,2018
6985,,,,2016
6980,57.1,76.5,34.4,2018
6980,66.7,75.2,36,2017
6980,63.5,70.4,29.4,2016
6980,53.2,64.5,34.8,2019
6980,39.2,,38,2021
6980,28.6,36.2,37.9,2022
6942,52.8,68.8,34.7,2019
6942,40.5,,42.7,2021
6942,64.3,52.9,12.5,2022
6942,49.4,62.9,47.7,2018
6942,39.3,47.6,35.7,2017
6942,56.8,75.7,45.9,2016
6936,52.7,60.8,49.4,2018
6936,45.5,59.6,35.4,2017
6936,25.8,,,2021
6936,37,68.5,,2022
6936,49.7,76.1,49.5,2016
6936,46.4,57.8,41.5,2019
6935,33,62.4,51.9,2016
6935,31.4,,21.7,2021
6935,47.5,,30.3,2022
6935,45.8,60.1,33,2018
6935,34,47.9,35.6,2019
6935,51.3,66,42.5,2017
6928,59.5,69.4,45.8,2019
6928,37.8,,41.5,2021
6928,43.2,55.6,31.8,2022
6928,45.3,56.3,40.6,2018
6928,58.7,72.3,34.4,2017
6928,40.8,66.7,33.3,2016
6915,27.4,37.5,21.4,2019
6915,27.5,,24.3,2021
6915,27.9,26.3,3.1,2022
6915,27.3,45.5,21,2018
6915,26.8,51.3,24.8,2017
6915,31.9,47.6,26.6,2016
6909,,,,2018
6909,,,,2016
6909,,58.3,,2019
6909,,69.4,,2022
6908,,,,2018
6908,25,33.3,23.1,2016
6908,,27.3,,2019
6908,,56,,2021
6908,,30.4,33.3,2022
6822,18.6,55.2,37.4,2018
6822,36.3,57.3,33.3,2017
6822,34.6,,,2021
6822,32.1,67.1,30.8,2022
6822,13.8,86.6,48.7,2016
6822,10.6,14.3,27,2019
6816,42.2,,,2016
6816,48.1,,,2018
6816,24,61.8,,2019
6804,,,,2018
6800,50.6,52,20.8,2018
6800,51.9,,31.6,2021
6800,,40.3,,2022
6800,56.5,65.2,26.1,2017
6800,57.5,88.5,60,2016
6800,65.1,68.4,25,2019
6775,43.3,58.7,40.1,2016
6775,46.5,71.2,42,2018
6775,54.6,67.9,43.6,2017
6775,48.8,56.4,37,2019
6775,50,79.7,33.8,2021
6775,40,56.9,35.4,2022
6745,39,64.8,46.2,2018
6745,48.5,72,34,2017
6745,45.5,71.8,47.7,2016
6745,31.7,65.5,41.2,2019
6745,20.3,,26.2,2021
6745,12.5,63.1,28.7,2022
6744,,,24.3,2021
6744,63.4,62.9,,2019
6737,34.7,59.2,33.6,2018
6737,43.5,70.4,42.6,2017
6737,53.1,72.8,39.8,2016
6737,33.6,,31.8,2019
6737,45.3,,15,2021
6737,6.8,61.4,35.9,2022
6734,33.7,62.5,38.3,2019
6734,33.8,,30,2021
6734,37.1,59.1,,2022
6734,43.8,67.3,34.9,2018
6734,49.3,76.1,45.8,2017
6734,53.4,67.1,44.8,2016
6729,30,60,32.1,2018
6729,49.2,60.4,37.2,2017
6729,28,55.3,43.4,2021
6729,23.5,62.4,26.3,2022
6729,53.7,72.4,42,2016
6729,45.6,67.8,36.1,2019
6716,54.1,,,2018
6707,49,78.8,42.5,2018
6707,56.6,82.4,45,2017
6707,64,80.9,48.9,2016
6707,54.3,71.6,57.6,2019
6707,50.8,,53.3,2021
6707,29.8,50.5,23.1,2022
6706,60,68.8,42.5,2018
6706,58.2,72.3,44.9,2017
6706,59.6,69.9,54.7,2016
6706,59.1,70.7,50.8,2019
6706,38.3,50.9,34,2021
6706,52.6,54.5,,2022
6705,25.4,66.1,44,2018
6705,32.6,,,2021
6705,28.2,60,,2022
6705,63,64,50,2019
6705,55.6,74.7,48.2,2017
6705,53.5,66.7,56,2016
6704,49,68.9,43.3,2017
6704,44,,32.7,2021
6704,22.8,66.1,,2022
6704,46.4,,41.7,2019
6704,55.4,71.4,37.6,2016
6704,48.9,74.1,35.6,2018
6675,36,26.7,4.2,2018
6675,3.7,13.7,4.5,2017
6675,1.4,,,2021
6675,0,71.1,11.1,2022
6675,1.8,24.8,4.3,2016
6675,17.5,9.3,3.4,2019
6674,46.4,,,2018
6674,,,11.8,2021
6674,,56.2,32,2022
6674,64.3,71.4,,2016
6672,,,,2018
6672,,,,2016
6672,,,,2019
6672,,66.5,8,2021
6661,,,,2018
6661,,,,2016
6661,,,,2019
6661,,,34,2021
6661,,66.7,,2022
6660,32,,,2018
6660,,,24.3,2021
6660,,61.3,32.5,2022
6660,65.1,,,2016
6660,40.9,53.6,,2019
6648,31.7,,52.5,2019
6648,66.9,74.7,49.4,2018
6648,43.8,,,2021
6648,35.3,,37.2,2022
6648,54.5,72,45.7,2017
6648,58.1,82.1,50,2016
6643,35.9,36.3,46.5,2018
6643,33.3,36.5,27.3,2017
6643,32.4,33,27.3,2016
6643,22.7,47,36.8,2019
6643,19.4,,48.1,2021
6643,3.2,59.7,18.4,2022
6635,42.9,14.3,42.6,2018
6635,,,39.8,2021
6635,,59.4,,2022
6635,55.3,,,2016
6635,38,62.8,,2019
6632,,,40.9,2021
6632,,,25.3,2022
6632,24.3,44.4,,2016
6632,7.4,60,,2019
6632,23,,,2018
6610,41.7,71.9,38.8,2018
6610,43.3,70,39.5,2017
6610,41.1,66.7,39.4,2016
6610,39.4,58.6,40.7,2019
6610,29.4,,42.5,2021
6610,35.5,42.1,5.9,2022
6609,57.6,,44.9,2018
6609,,,17.3,2021
6609,,77.6,,2022
6609,43.9,,,2016
6609,39.5,70.6,,2019
6606,,57,,2019
6606,,,,2021
6606,,50,,2022
6606,,,,2018
6606,61.6,76.3,,2016
6600,46.2,54.3,44.1,2018
6600,54.4,58,45.5,2017
6600,55,66.8,51.5,2016
6600,41.1,52.3,37.6,2019
6600,43.8,68.3,,2021
6600,24.4,18.5,29,2022
6587,,,37.5,2021
6587,72.4,,,2016
6583,55.5,53.8,38.3,2018
6583,26.4,,44.1,2021
6583,16.7,37.8,21,2022
6583,45.5,48.4,38.7,2017
6583,60.4,57.4,43.7,2016
6583,43.4,,46.5,2019
6563,48.5,60.8,40.6,2018
6563,54,62.5,45.6,2017
6563,68.2,77.8,50,2016
6563,39.8,52.7,37,2019
6563,30.5,,39.8,2021
6563,25,74.4,29.5,2022
6555,43.6,67.8,29.7,2018
6555,44.6,61.9,43.7,2017
6555,49.1,67.4,44.8,2016
6555,45.7,59.7,47.4,2019
6555,30.3,,,2021
6555,38.5,15.4,,2022
6548,34,42.9,10.9,2018
6548,15.2,42.2,9.3,2017
6548,11.5,,44.7,2021
6548,,50.7,1.6,2022
6548,14.2,80,20,2016
6548,5.2,88,6.3,2019
6527,15.5,,,2021
6527,24,19.4,8.3,2022
6527,20,16,17.4,2019
6527,57.1,36.6,15.3,2018
6527,23,37.4,14.4,2017
6527,16.4,48,21.1,2016
6516,25.3,47.6,24.7,2018
6516,36.3,52.2,22.3,2017
6516,29.6,53.1,24.8,2016
6516,23.9,56.7,21.5,2019
6516,25.4,,13,2021
6516,49,56.8,13.9,2022
6511,,,,2018
6492,2.1,10.8,4.6,2018
6492,2.7,12,0.9,2017
6492,6,15.9,4.3,2016
6492,2,11.1,5.6,2019
6492,1.5,,31.5,2021
6492,0,44.1,37.6,2022
6482,35.3,62.7,38.7,2018
6482,37.8,64.3,31.5,2017
6482,46.7,66,31.1,2016
6482,32.9,57.8,40.4,2019
6482,26.7,50,23.7,2021
6482,13.6,72.5,31.1,2022
6455,44,66.9,36.9,2018
6455,43.4,74.1,37.7,2017
6455,50.6,75,39.4,2016
6455,41.8,66.7,39.3,2019
6455,42.4,31.3,40.3,2021
6455,22.5,61.9,,2022
6451,,,,2018
6439,39.8,55.1,43.8,2018
6439,50.8,73.8,52.5,2017
6439,37.1,,,2021
6439,23.2,50.1,,2022
6439,59.8,76.3,35.2,2016
6439,45.3,62,43.4,2019
6419,54.5,63.6,29.3,2019
6419,45.9,67.2,34.4,2018
6419,13.6,,28.7,2021
6419,38.5,64.2,,2022
6419,62.5,62.5,40.8,2017
6419,59.2,64,46.9,2016
6418,41.7,85.3,45.2,2019
6418,57.1,78.1,54.8,2018
6418,50.5,66.3,42.1,2017
6418,41.5,,30,2021
6418,36.5,57.6,47.7,2022
6418,62,75,52.8,2016
6413,29.3,50,30.8,2018
6413,41.3,56.6,32.6,2017
6413,25.5,45.4,28.5,2019
6413,42.9,,,2021
6413,22.7,55.2,32.9,2022
6413,46.6,70.8,28.7,2016
6404,40.9,65.7,33,2018
6404,45.8,51.3,42,2017
6404,51.9,67,52.3,2019
6404,52.8,68,37.2,2021
6404,65.8,10.5,22.9,2022
6404,52.6,62.9,38.6,2016
6391,38.8,59.3,35.8,2017
6391,31,27.3,31.3,2021
6391,5.7,42.2,34.8,2022
6391,58.7,77.3,44.7,2016
6391,37.5,72.7,43.8,2019
6391,60.7,59.6,43.5,2018
6390,36.3,69.8,41.5,2018
6390,46.8,67.7,41.3,2017
6390,29.8,,30,2021
6390,42.9,53.7,37.8,2022
6390,45.5,50.5,34.7,2019
6390,35.9,55.6,43.2,2016
6373,57.3,75.9,49.4,2017
6373,33.8,,27.2,2021
6373,55,,42.7,2022
6373,36,,28.8,2019
6373,42.4,45.9,41.7,2018
6373,67.2,81.1,52.1,2016
6368,33.3,4.8,26.1,2021
6368,44.1,75.3,3.7,2022
6368,60.4,73.2,46.8,2017
6368,53,84.1,49.2,2016
6368,42,62.3,48.4,2019
6368,42.5,68.4,40.5,2018
6364,50.2,73.2,46.7,2016
6364,36.2,50.3,47.6,2019
6364,59.6,68.4,43,2018
6364,57.9,73.9,57.4,2017
6364,45,,,2021
6364,51.7,16.1,,2022
6353,55,72.6,,2016
6345,37.2,70.3,40.9,2018
6345,37,,,2021
6345,40.9,67,30.8,2022
6345,46,67.7,36.4,2017
6345,54.5,67.2,37.7,2016
6345,48.1,62.9,42,2019
6341,53.4,84.7,54.2,2016
6341,32.1,59.8,60.4,2019
6341,38.9,77.6,57.1,2018
6341,57.1,77.6,53.1,2017
6341,55.8,,0,2021
6341,33.3,62.9,38.6,2022
6340,39,51.9,41.6,2019
6340,49.2,,21.3,2021
6340,35.1,48.3,17.9,2022
6340,37.1,58.8,46.4,2018
6340,53.4,67.4,40,2017
6340,60.2,65.9,40.2,2016
6333,5.7,13.6,7.9,2018
6333,8.1,16.7,12.6,2017
6333,8.6,27.2,6.5,2016
6333,5.7,15.8,12.3,2019
6333,5.9,,,2021
6333,26.3,58.9,29.5,2022
6330,52.4,67.7,46,2018
6330,55.1,67.5,40.3,2017
6330,66.7,69.6,54.2,2016
6330,51.6,61.5,44.3,2019
6330,45.9,,15.9,2021
6330,55.6,46.3,34.6,2022
6328,52.4,76.7,48.5,2018
6328,40.9,72.8,46.8,2017
6328,62.1,74.8,46.8,2016
6328,47.9,55.2,38.8,2019
6328,50.4,42.9,,2021
6328,50.6,57.1,39.2,2022
6318,58.3,70.4,49.7,2018
6318,65,69.5,47.9,2017
6318,68.5,78,65.4,2016
6318,55.9,66.1,53.2,2019
6318,40.2,,40,2021
6318,8.6,55.6,38.5,2022
6308,41.6,51.3,29.2,2019
6308,28.9,20,44.5,2021
6308,49.3,,32.4,2022
6308,47.3,60.9,27,2018
6308,43.1,53.9,34,2017
6308,55.5,65.2,40,2016
6306,39.8,72.7,43.9,2018
6306,43.7,73.9,39.5,2017
6306,51,79.6,45.9,2016
6306,43.1,66.6,43.6,2019
6306,38.2,,,2021
6306,21.8,59.4,37,2022
6304,25,58.3,27.3,2019
6304,,,41.6,2021
6304,,66.1,,2022
6304,,,,2018
6304,,,,2016
6293,39.8,72.9,41,2018
6293,44.7,73.7,33.2,2017
6293,35.4,53.3,35.6,2019
6293,39.6,64.3,40.7,2021
6293,16.2,62.6,36.4,2022
6293,54.9,67,46.9,2016
6290,53.5,68.3,43.2,2016
6290,53,69.4,45.6,2018
6290,56.9,70.5,45.2,2017
6290,50.3,72.2,39.9,2019
6290,46.7,74.1,48.1,2021
6290,26.4,63.3,37.4,2022
6281,,,,2018
6280,54.3,72.7,42.9,2018
6280,54.1,76.1,40.3,2017
6280,41.7,72.1,43.6,2019
6280,46.4,,55.8,2021
6280,14.3,48.5,33.3,2022
6280,52.2,67.6,31.8,2016
6271,42.1,68.9,45.7,2018
6271,48.4,71.1,40,2017
6271,49.2,73.4,40.4,2016
6271,33.5,63.9,38.5,2019
6271,42.3,,14.8,2021
6271,12.9,52.3,35.1,2022
6269,59.1,71,43,2018
6269,52.2,72.5,56.3,2017
6269,44.2,66.2,37.7,2016
6269,53.9,63.2,52.6,2019
6269,37.3,27.3,37.5,2021
6269,48.6,56.7,31.7,2022
6255,54,68.3,37.7,2018
6255,55.8,73.5,36.8,2017
6255,51.6,69,30.7,2019
6255,26.8,15.4,0,2021
6255,46.7,54.1,10.6,2022
6255,53.6,71.8,38.2,2016
6252,57.4,70.8,48.4,2016
6252,50.9,83,52.8,2018
6252,67.2,75,50,2017
6252,50.7,65.8,49.3,2019
6252,60,41.7,,2021
6252,31,47.4,33.8,2022
6241,50,,50,2019
6241,34.4,66.7,32.3,2021
6241,,58.6,32,2022
6241,25.8,46.9,18.8,2018
6241,36.8,63.2,42.1,2017
6241,39.3,53.6,44.8,2016
6236,47.7,62.8,37.7,2018
6236,44.7,64.3,39.4,2017
6236,46.3,65.6,45.4,2016
6236,43.2,60,45.9,2019
6236,36,,,2021
6236,36.8,58,,2022
6231,61.5,68.8,39.4,2018
6231,56.1,61.7,26.2,2017
6231,48.3,62.1,36.2,2016
6231,56.5,,43.6,2019
6231,40.4,,,2021
6231,50,50.6,,2022
6223,41,,29.4,2019
6223,32,77.8,51.9,2018
6223,38.5,84.6,61.5,2017
6223,56.3,,,2021
6223,53.8,27.5,21.2,2022
6223,59,81.3,50,2016
6222,52,53.8,23.1,2016
6222,14.5,68.3,63.6,2019
6222,50,75,41.7,2018
6222,,,,2017
6222,,,,2021
6218,48.8,81.8,42.9,2018
6218,71.9,68.8,53.1,2017
6218,65.8,71.1,47.4,2016
6218,56.8,39.9,50,2019
6218,36,37.5,,2021
6218,20.6,61.5,10.8,2022
6216,43.2,62.5,24,2018
6216,30,,36.9,2021
6216,25,41.7,12.5,2017
6216,,56,36,2016
6216,39.3,69,30.8,2019
6210,47.1,71.4,55.6,2018
6210,69.8,77.4,64.2,2017
6210,41.9,,38.3,2021
6210,76.7,59,,2022
6210,69.6,68.9,50.8,2016
6210,38.8,69.1,65.1,2019
6207,33.3,65,61,2019
6207,57,80.4,57.1,2016
6207,51.1,62.7,50,2018
6207,50,,48.8,2021
6207,45.5,50,47.1,2022
6207,47.7,84.6,48.4,2017
6201,49.2,58.5,41.5,2018
6201,53.8,74.7,45.5,2017
6201,56,70.3,50.5,2016
6201,44.3,63.3,55,2019
6201,56.7,,37.5,2021
6201,37.9,55.8,16.4,2022
6193,,,,2018
6193,,,,2019
6191,52.1,75.4,39,2018
6191,39.8,,,2021
6191,32,67.2,40.3,2022
6191,66.1,78.7,47.5,2017
6191,66.3,72.1,45.7,2016
6191,,65.1,34.4,2019
6181,56.2,54.2,33.3,2018
6181,9.1,,,2021
6181,,58.5,47.1,2022
6181,55.1,41.2,28,2017
6181,59.7,60.4,42.3,2016
6181,32.4,64.5,22.4,2019
6174,,,,2021
6174,,,,2016
6174,44.4,63.3,,2019
6172,,25,45.5,2018
6172,,68.3,14,2022
6172,65,33.3,14.3,2016
6165,54.1,79.3,61.6,2018
6165,49.3,75.8,52.9,2017
6165,41.4,55,67.6,2019
6165,40.2,,26.9,2021
6165,14.8,75.4,35.1,2022
6165,41.3,61.7,47.3,2016
6162,55,72.1,59.1,2018
6162,57.3,64,45.3,2017
6162,44.4,67.2,43.5,2019
6162,45.3,,39.7,2021
6162,18.2,41.4,,2022
6162,55.2,73.1,49.1,2016
6161,35.3,50,23.5,2018
6161,52.4,80,66.7,2017
6161,75,80,57.9,2016
6161,58.8,66.7,52.9,2019
6161,,,,2021
6161,,43.1,,2022
6159,28.6,59.1,42.9,2018
6159,57.1,64.3,50,2017
6159,47.6,61.9,47.6,2016
6159,15.8,62.3,47.1,2019
6159,,,,2021
6159,,,42.1,2022
6156,56.7,70.8,43.3,2018
6156,60.3,74.4,54.4,2017
6156,61.8,70.8,52.3,2016
6156,50.4,56.9,41.7,2019
6156,36.9,6.9,53.8,2021
6156,17.9,55.2,57.1,2022
6148,33.7,53.3,28,2018
6148,53.8,62.5,29.8,2017
6148,55.8,60.4,36.8,2016
6148,55.8,58,47.3,2019
6148,42.7,0,63.6,2021
6148,45,,17.1,2022
6145,54.2,77.8,31.4,2018
6145,57,71.7,32.4,2017
6145,61.7,77.5,34.5,2016
6145,51.3,60.8,33.6,2019
6145,39.2,11.6,32.1,2021
6145,,59.1,67.7,2022
6136,42.1,61.1,34.7,2019
6136,70,,25.2,2021
6136,50,,,2022
6136,43.2,65.4,41.5,2018
6136,42.7,55.6,27,2017
6136,62.7,73.8,34.5,2016
6129,48.4,,2.1,2021
6129,43.2,28,32.5,2022
6129,77.6,84.2,52.1,2017
6129,69.5,80.8,40.2,2016
6129,37.3,74,41.4,2019
6129,25.9,75.4,40,2018
6126,7.1,73,64.9,2018
6126,42.4,69.7,48.5,2017
6126,68,10.6,,2021
6126,30.8,45.8,,2022
6126,51.7,70.5,45.5,2016
6126,52.6,64.9,65.1,2019
6125,35,21.4,7.1,2018
6125,53.5,72.7,0,2016
6125,49.1,62.3,0,2019
6125,4.3,11.1,10,2017
6122,50,59.4,76.7,2016
6122,36,63.3,64.3,2019
6122,17.9,66.7,42.4,2018
6122,53.3,51.1,42.2,2017
6122,23.3,,44.2,2021
6122,,66.9,24.5,2022
6113,,,,2019
6113,,,50,2021
6113,,,4.7,2022
6113,,,,2018
6113,,,,2016
6105,27.5,45.3,21.4,2018
6105,29.1,46.2,24,2017
6105,31.6,52.3,26.1,2016
6105,21.8,45.1,23.8,2019
6105,15.5,28.6,37.4,2021
6105,26.2,29.8,20.7,2022
6047,,,0,2018
6047,,,,2019
6047,,,,2022
6012,,71.3,30,2018
6012,60.3,76.5,52.9,2017
6012,49.2,,39.8,2021
6012,49.5,56.1,,2022
6012,44.9,66.5,44.6,2016
6012,,72.1,55,2019
6001,36.1,57,25.9,2019
6001,30.2,6.7,,2021
6001,13.6,41.7,,2022
6001,41.3,58.6,38.9,2018
6001,36.8,56.4,30.7,2017
6001,34.4,59.8,34.8,2016
5356,,39.5,,2022
5355,51,73.6,,2019
5355,,,60,2021
5355,,51.2,,2022
5355,53.6,,,2016
5355,50,,,2018
5352,57.4,71.5,45,2018
5352,44.2,72.7,35.5,2017
5352,32.4,,,2021
5352,16.9,,,2022
5352,57,62.3,38,2016
5352,54.3,63.7,34.6,2019
5345,26.9,71,35.9,2018
5345,39.4,73.1,34.9,2017
5345,38.4,,32.1,2021
5345,28,,38.6,2022
5345,30.4,47.8,33.5,2016
5345,,,32.9,2019
5338,38.2,32.7,21.2,2018
5338,47.8,,38.6,2021
5338,,41.9,33.4,2022
5338,7,52.6,7.1,2019
5338,54.1,78.5,8.3,2016
5288,,,,2019
5288,,,37.5,2021
5288,,61.8,23.1,2022
5288,,,,2018
5288,,,,2016
5287,36.7,55.7,29,2019
5287,28.6,,8,2021
5287,4.9,60.6,32.3,2022
5287,39.9,72.2,30.4,2018
5287,31.7,62.2,32.8,2017
5287,34.9,63.9,27.2,2016
5286,37,56.3,,2016
5286,33.9,52.6,,2019
5286,,20,15.8,2018
5286,,64.7,14.3,2021
5286,,69.4,50,2022
5285,,65.7,,2019
5285,,8,46.1,2021
5285,,62.9,8.5,2022
5285,,,,2018
5284,,73.7,33.3,2021
5284,,12.5,27.7,2022
5284,,,,2018
5283,,29.4,2.9,2021
5283,,64.3,,2022
5282,48.8,74.8,,2016
5282,,71.2,,2019
5282,,33.3,78.9,2021
5282,,54.2,30.6,2022
5282,,,,2018
