school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
2191,CHAMBERSBURG AREA SH,44.1,59.6,37.8,2017
2201,FANNETT-METAL JSHS,52.6,73.7,36.8,2017
2206,GREENCASTLE-ANTRIM SHS,58,67.1,43.5,2017
6280,JAMES BUCHANAN SHS,54.1,76.1,40.3,2017
2243,WAYNESBORO AREA SHS,58,72.2,43.8,2017
6252,MCCONNELLSBURG HS,67.2,75,50,2017
2246,FORBES ROAD JSHS,35.7,67.9,28.6,2017
2253,SOUTHERN FULTON JSHS,64.6,77.6,61.2,2017
7112,CARMICHAELS AREA JSH,35,57.4,29,2017
5118,WAYNESBURG CENTRAL H,47.1,70.7,43.1,2017
2280,JEFFERSON-MORGAN JSH,28.3,41.2,29.4,2017
2284,MAPLETOWN JSHS,40.4,60,46.7,2017
7136,WEST GREENE HS,27.3,51.5,36.4,2017
2305,HUNTINGDON AREA SHS,56.3,63.7,37,2017
2308,JUNIATA VALLEY JSHS,44,58,32,2017
7944,MOUNT UNION AREA SHS,65,68.9,48,2017
7762,NEW DAY CHARTER SCHOOL,21.1,36.8,10.5,2017
2313,SOUTHERN HUNTINGDON HS/MS,41.3,42.2,32.5,2017
4706,BLAIRSVILLE HIGH,38.8,62.7,32.8,2017
2353,SALTSBURG MIDDLE/HIGH,66.7,77.5,52.5,2017
2331,HOMER-CENTER JSHS,66.7,76.4,63.9,2017
2325,INDIANA AREA SHS,51,74.6,38.2,2017
2339,MARION CENTER AREA H,75.5,86.7,54.3,2017
2345,PENNS MANOR AREA JSH,32.3,61.2,51.5,2017
2350,PURCHASE LINE JSHS,30.8,51.3,34.6,2017
2358,UNITED JSHS,49.3,78.9,39.5,2017
2362,BROCKWAY JSHS,55.9,72.9,47.5,2017
6162,BROOKVILLE JSHS,57.3,64,45.3,2017
5180,JEFFERSON CO-DUBOIS AVTS,32.9,59.7,29.5,2017
6165,PUNXSUTAWNEY AREA SH,49.3,75.8,52.9,2017
2394,EAST JUNIATA JSHS,59.5,72.9,56.5,2017
6255,JUNIATA SHS,55.8,73.5,36.8,2017
5091,ABINGTON HEIGHTS HS,46.4,70,32.4,2017
2420,CARBONDALE AREA JSHS,43,71.6,39.4,2017
8312,DUNMORE JSHS,44.3,76.1,54.7,2017
6404,LAKELAND JSHS,45.8,51.3,42,2017
8304,MID VALLEY SECONDARY CENTER,46.2,68.3,44.7,2017
2446,NORTH POCONO HS,55.8,83.5,47.4,2017
2449,OLD FORGE JSHS,64.1,58,37,2017
2496,RIVERSIDE JSHS,48.9,41.2,31.6,2017
6413,SCRANTON HS,41.3,56.6,32.6,2017
2489,WEST SCRANTON HS,40.1,53.6,29.6,2017
6775,VALLEY VIEW HS,54.6,67.9,43.6,2017
6290,COCALICO SHS,56.9,70.5,45.2,2017
2515,COLUMBIA HS,29.9,46.4,16.7,2017
2532,CONESTOGA VALLEY SHS,47.5,68.1,39.9,2017
2539,DONEGAL SHS,56.5,66.7,43.4,2017
2554,GARDEN SPOT SHS,48.2,62,42.2,2017
2562,ELIZABETHTOWN AREA S,50.3,67.8,43.6,2017
6293,EPHRATA SHS,44.7,73.7,33.2,2017
2578,HEMPFIELD SHS,26.8,59.9,32.4,2017
7538,LA ACADEMIA CS,12,36,3.8,2017
2607,LAMPETER-STRASBURG SHS,39.5,65.8,38.1,2017
2596,MCCASKEY CAMPUSES,32.2,51.6,25.1,2017
7922,PHOENIX ACADEMY,12.5,21.2,12,2017
2618,MANHEIM CENTRAL SHS,58,71.4,33,2017
2623,MANHEIM TWP HS,47.6,74.2,38.2,2017
2633,PENN MANOR HS,58.1,79.9,44.4,2017
2649,PEQUEA VALLEY HS,43.7,53.2,30.7,2017
2658,SOLANCO HS,54,67,30.2,2017
2663,WARWICK SHS,46.4,72.3,26.2,2017
2675,LINCOLN JSHS,61.1,75.9,39.8,2017
2680,LAUREL JSHS,64,80.9,52.8,2017
4940,LAWRENCE CO AVTS,25.2,43.7,30.6,2017
2686,MOHAWK JSHS,76.1,76.6,54.5,2017
2689,NESHANNOCK JSHS,65,80.2,49.5,2017
2704,NEW CASTLE SHS,41.7,56.1,40.8,2017
2708,SHENANGO AREA JSHS,65.1,89.2,54.2,2017
2712,UNION AREA HS,48.8,69.8,32.6,2017
2721,WILMINGTON AREA HS,40.2,69.9,38.3,2017
2725,ANNVILLE CLEONA HS,60.2,64.9,25.4,2017
4800,CEDAR CREST HS,56.2,71.9,36.2,2017
2740,EASTERN LEBANON CO S,48.6,66.5,44.1,2017
5155,LEBANON SHS,30.9,54.6,33.5,2017
2760,NORTHERN LEBANON SHS,58.2,66.9,35.6,2017
2766,PALMYRA AREA SHS,39.5,62.7,33.6,2017
2795,LOUIS E DIERUFF HS,28,46.1,22.2,2017
2794,WILLIAM ALLEN SHS,29.9,39.7,18.4,2017
2798,CATASAUQUA HS,37.2,53.1,33.1,2017
2809,EMMAUS HS,46.9,68.5,46.9,2017
8371,INNOVATIVE ARTS ACADEMY CS,5.7,28.6,9.1,2017
8125,LINCOLN LEADERSHIP ACAD CS,67.2,73.1,49.2,2017
2818,NORTHERN LEHIGH SHS,33.1,62.2,30.4,2017
2821,NORTHWESTERN LEHIGH HS,48.7,66.5,40,2017
2829,PARKLAND HIGH SCHOOL,50.8,67.5,35,2017
7629,ROBERTO CLEMENTE CS,44.4,66.7,29.6,2017
2833,SALISBURY HIGH SCHOOL,48.6,62.2,50,2017
2839,SOUTHERN LEHIGH SHS,41.2,65.4,38.9,2017
2848,WHITEHALL HS,46.3,69.5,39.9,2017
2860,CRESTWOOD HS,45.8,65,37.5,2017
2869,DALLAS SHS,47.1,69.6,37.4,2017
5242,NANTICOKE HS,32.7,43.6,28.4,2017
2891,HANOVER AREA JSHS,26.4,53.4,32.3,2017
7348,HAZLETON AREA HS,32.6,51.6,26.1,2017
2924,LAKE-LEHMAN JSHS,37.8,70,25.6,2017
2958,NORTHWEST AREA HS,53.5,76.8,57.7,2017
5058,PITTSTON AREA SHS,51.7,65.5,31.8,2017
5059,WEST SIDE CTC,19.7,30.6,12.6,2017
3009,ELMER L MEYERS JSHS,27.8,45.9,36,2017
3008,G A R MEMORIAL JSHS,33.3,30.6,22.8,2017
3007,JAMES M COUGHLIN JSH,35.6,55.7,35.4,2017
6390,WYOMING AREA SEC CTR,46.8,67.7,41.3,2017
6391,WYOMING VALLEY WEST SHS,38.8,59.3,35.8,2017
6364,HUGHESVILLE JSHS,57.9,73.9,57.4,2017
3034,JERSEY SHORE AREA SH,57.3,79.4,45.2,2017
4828,LOYALSOCK TWP SHS,44.3,77.6,39.6,2017
3040,MONTGOMERY JSHS,70.8,79.2,43.8,2017
3045,MONTOURSVILLE AREA S,53,75.2,46.4,2017
3048,MUNCY JSHS,50,83.3,41.5,2017
3056,SOUTH WILLIAMSPORT AREA JSHS,56.6,80.7,53,2017
6368,WILLIAMSPORT AREA HS,60.4,73.2,46.8,2017
4691,BRADFORD AREA HS,61.5,74.1,56,2017
5245,KANE AREA HS,56.8,60.5,36.3,2017
3107,OTTO-ELDRED JSHS,45,72.1,58.1,2017
3111,PORT ALLEGANY JSHS,46.8,68.3,42.9,2017
3117,SMETHPORT AREA JSHS,49,60.8,51,2017
6122,COMMODORE PERRY JSHS,53.3,51.1,42.2,2017
5248,FARRELL AREA HS/UMS,24.4,27.3,11.9,2017
3137,GREENVILLE JSHS,53.4,76.7,56.7,2017
6125,GEORGE JR REPUBLIC H,4.3,11.1,10,2017
3145,GROVE CITY AREA HS,40,69.6,35.8,2017
3150,HICKORY HS,40.8,77.1,49,2017
6126,JAMESTOWN AREA JSHS,42.4,69.7,48.5,2017
7506,KEYSTONE ED CTR CS,6.1,19.6,10.2,2017
3155,LAKEVIEW HS,44.4,80,44,2017
3158,MERCER AREA SHS,68.4,74.7,55,2017
3165,REYNOLDS JSHS,49.1,85.2,49.5,2017
8093,SHARON HS,40.5,51.8,30.4,2017
3124,SHARPSVILLE AREA SHS,47.8,78,46.2,2017
6129,WEST MIDDLESEX AREA HS,77.6,84.2,52.1,2017
8187,MIFFLIN COUNTY HS,22.4,56.9,35.6,2017
6935,E STROUDSBURG SHS SOUTH,51.3,66,42.5,2017
7641,EAST STROUDSBURG SHS NORTH,49.8,63.9,46.8,2017
7866,EVERGREEN COMMUNITY CS,91.7,66.7,72.7,2017
3210,PLEASANT VALLEY HS,51.3,80.9,49.5,2017
3216,POCONO MT EAST HS,46,63.9,39.7,2017
7738,POCONO MT WEST HS,43.1,50.4,40.1,2017
3224,STROUDSBURG HS,54.1,70.9,45.1,2017
3241,ABINGTON SHS,49.5,74.3,38.7,2017
3260,CHELTENHAM HS,37.9,62.6,33.2,2017
3333,PLYMOUTH-WHITEMARSH,39.4,71.2,32.6,2017
3272,HATBORO-HORSHAM SHS,42.7,60.2,36,2017
8049,JENKINTOWN MIDDLE/HIGH SCH,42.1,65.8,34.2,2017
3296,HARRITON SHS,40.5,74.2,23.8,2017
3295,LOWER MERION HS,44.8,73.2,23.5,2017
4960,LOWER MORELAND HS,40.8,76.5,38.3,2017
3305,METHACTON HS,49.6,72.7,27.6,2017
6729,NORRISTOWN AREA HS,49.2,60.4,37.2,2017
6998,ROOSEVELT ALTERN SCH,6.7,33.3,0,2017
5345,NORTH PENN SHS,39.4,73.1,34.9,2017
7687,PA VIRTUAL CS,30.1,65.7,33.7,2017
3328,PERKIOMEN VALLEY HS,57.9,73.3,33.3,2017
3338,POTTSGROVE SHS,49.4,67.9,40.2,2017
3348,POTTSTOWN SHS,27.1,48.5,28.1,2017
3354,SOUDERTON AREA SHS,45.5,70,31.8,2017
3376,SPRINGFIELD TWP HS,54.1,68.2,34.1,2017
3367,SPRING-FORD SHS,40.5,71.4,31.2,2017
5078,UPPER DUBLIN HS,44.7,73.8,32.3,2017
3395,UPPER MERION HS,43.8,67.9,33.2,2017
3401,UPPER MORELAND HS,58.8,79.5,41.4,2017
5081,UPPER PERKIOMEN HS,33,71.9,40.2,2017
3247,WISSAHICKON SHS,51.8,68.5,38.1,2017
3425,DANVILLE AREA SHS,38.5,66.9,28.6,2017
3434,BANGOR AREA SHS,58.6,72.2,42,2017
4957,FREEDOM HS,38.6,55.6,28,2017
3465,LIBERTY HS,27.7,55.6,25.3,2017
3482,EASTON AREA HS,45.3,63.6,40.6,2017
7681,LEHIGH VALLEY ACADEMY REG CS,50.6,73.1,44.9,2017
7634,LEHIGH VALLEY CHS PERFORMING ART,65.1,85.3,71.1,2017
3495,NAZARETH AREA HS,50.9,69.9,46.1,2017
3505,NORTHAMPTON AREA SHS,59.7,75.1,41.8,2017
6439,PEN ARGYL AREA HS,50.8,73.8,52.5,2017
5352,SAUCON VALLEY SHS,44.2,72.7,35.5,2017
3522,WILSON AREA HS,58.4,68.1,48.5,2017
3532,LINE MOUNTAIN HS,55.1,73.3,48.9,2017
3541,MILTON HS,48.9,54.8,32.3,2017
6936,MOUNT CARMEL AREA HS,45.5,59.6,35.4,2017
7893,SHAMOKIN AREA HS,53.6,70.4,44,2017
3569,SHIKELLAMY HS,48.5,57.6,36.8,2017
5103,WARRIOR RUN HS,48.6,74.5,40.2,2017
6341,GREENWOOD HS,57.1,77.6,53.1,2017
7930,NEWPORT HS,50,75.8,42.4,2017
3589,SUSQUENITA HS,53.8,73.1,38.7,2017
3596,WEST PERRY SHS,43.7,71.7,38.4,2017
8217,ACT ACADEMY CYBER CS,5.9,27.6,0,2017
7578,ARCH AND DESIGN CHS,26.1,22.2,11,2017
8148,ASPIRA BILINGUAL CYBER CHARTER S,3.4,28.6,3.7,2017
7981,BOYS LATIN OF PHILADELPHIA CS,45.9,56.1,45.9,2017
7510,COMM ACAD OF PHILA CS,39.9,60.1,42.8,2017
7671,DELAWARE VALLEY CHS,12.9,29.2,4.5,2017
8127,EASTERN UNIVERSITY ACAD CS,16.9,52.5,10.2,2017
8216,ESPERANZA CYBER CS,26.7,53.3,26.7,2017
7744,FIRST PHILA CS FOR LITERACY,22.9,55.3,12.5,2017
7666,FRANKLIN TOWNE CHS,68.7,88.2,62.6,2017
7586,FREIRE CS,50.4,71.1,49.1,2017
7542,IMHOTEP INSTITUTE CS,9.8,35.8,8.8,2017
8358,KIPP DUBOIS CHARTER SCHOOL,38.2,46.8,29.7,2017
7672,MARIANA BRACETTI ACAD CS,54.6,68,39.1,2017
7777,MARITIME ACADEMY CS,32.3,69.2,40,2017
7574,MAST COMMUNITY CS,39.8,69.3,37.3,2017
8207,MASTERY CS - GRATZ CAMPUS,16.1,24.5,9.7,2017
7588,MASTERY CS - HARDY WILLIAMS,19.5,47.3,19.2,2017
7678,MASTERY CS - LENFEST CAMPUS,35.9,60.3,17.5,2017
7961,MASTERY CS - PICKETT CAMPUS,33.3,62.2,28.7,2017
7909,MASTERY CS - SHOEMAKER CAMPUS,27.3,55.4,17.9,2017
7910,MASTERY CS - THOMAS CAMPUS,34.7,55.6,25.3,2017
7582,MATH CIVICS & SCIENCES CS,11.7,15.6,3.9,2017
7546,MULTI-CULTURAL ACADEMY CS,57.4,77.8,50,2017
7649,NEW FOUNDATIONS CS,54.2,86.5,55,2017
7665,NUEVA ESPERANZA ACAD CS,30.8,49.1,20,2017
8205,OLNEY CHARTER HS,15.1,20.5,6.2,2017
7737,PHILA ELEC & TECH CHS,29.1,57.5,22.8,2017
7587,PHILADELPHIA ACAD CS,41.8,66.7,31.3,2017
7904,ACADEMY AT PALUMBO,66.7,89,62.5,2017
8039,ARTS ACADEMY AT BENJAMIN RUSH,50.3,82.2,64.2,2017
7070,BODINE WILLIAM W HS,54.8,78.8,58.3,2017
8332,BUILDING 21,14,27.6,3.5,2017
7023,CARVER HS ENGINEERING & SCIENCE,49.3,74.8,55.6,2017
3848,CENTRAL HS,32.6,82.1,41.9,2017
7905,CONSTITUTION HS,36.5,47.7,25.6,2017
6996,CREATIVE &  PERFORM ARTS,52.1,71.5,37.1,2017
3841,DOBBINS MURRELL AVT HS,5.1,13.5,9.6,2017
3849,EDISON HS - FAREIRA SKILLS,9.7,21.3,6.3,2017
3816,FELS SAMUEL HS,6.8,23.2,5.1,2017
3850,FRANKFORD HS,8.9,15.6,5.4,2017
3851,FRANKLIN BENJAMIN HS,1.6,16.1,5.5,2017
6822,FRANKLIN LEARNING CTR,36.3,57.3,33.3,2017
3818,FURNESS HORACE HS,12.1,16.5,11.1,2017
6527,GEORGE WASHINGTON HS,23,37.4,14.4,2017
7664,GIRARD ACAD MUSIC PROG,62.1,71.4,50,2017
3843,GIRLS HS,53.2,86.1,57.1,2017
7229,HILL-FREEDMAN,47.1,64,40,2017
3847,JOHN BARTRAM HS,6.4,14,5.6,2017
7852,KENSINGTON CREATIVE & PERF ARTS,7.3,13.3,1.6,2017
7855,KENSINGTON CULINARY ARTS,12.9,34.5,19,2017
8388,KENSINGTON HS,8.2,7.4,4.2,2017
6675,KING MARTIN LUTHER HS,3.7,13.7,4.5,2017
7811,LANKENAU HS,37.1,74.3,31.4,2017
3845,LINCOLN ABRAHAM HS,13.1,27.6,11,2017
3842,MASTBAUM JULES E AVTS,12.8,24.8,1.8,2017
3808,MASTERMAN JULIA R SCH,10.4,66,13.1,2017
7815,MOTIVATION HS,25.6,51.7,17.9,2017
3855,NORTHEAST HS,26.5,41.4,25.5,2017
3857,OVERBROOK HS,2.4,14,3.2,2017
6548,PARKWAY NORTHWEST,15.2,42.2,9.3,2017
7808,PARKWAY WEST HS,35.9,74.4,23.7,2017
7782,PARKWAY-CENTER CITY SCHOOL,47.8,89.9,37.1,2017
7780,PAUL ROBESON HS FOR HUMAN SERVIC,19.7,51.4,31,2017
8293,PENN TREATY MS,13.3,30.4,11.5,2017
7850,PHILA MILITARY ACADEMY AT ELVERS,33.8,45.3,29.2,2017
8386,PHILADELPHIA LEARNING ACADEMY -,0,,,2017
8385,PHILADELPHIA LEARNING ACADEMY-NO,,,,2017
7813,RANDOLPH A PHILIP AVT HS,9.6,25,2.6,2017
3844,ROXBOROUGH HS,6.8,8.5,6,2017
3861,SAUL W B AGRICULTURAL SCHOOL,23.7,34.1,18.5,2017
7245,SAYRE WILLIAM L HS,2.7,12.9,3.1,2017
7903,SCHOOL OF THE FUTURE,15.2,30.2,14.7,2017
7906,SCIENCE LEADERSHIP ACADEMY,33.9,68.6,36.2,2017
3859,SOUTH PHILADELPHIA HS,13.8,18.5,1.3,2017
7255,STRAWBERRY MANSION HS,16.4,22,7,2017
7072,SWENSON ARTS & TECHNOLOGY HS,22.3,36,4.5,2017
8331,THE LINC,6.9,15.7,1.4,2017
8330,THE SCIENCE LEADERSHIP ACADEMY A,37.2,69.6,39.2,2017
8298,THE SD OF PHILADELPHIA VIRTUAL A,3.7,20.5,3,2017
8329,THE U SCHOOL: INNOVATIVE LAB,13.2,11.4,2.8,2017
8328,THE WORKSHOP SCHOOL,7.7,30,,2017
3860,WEST PHILADELPHIA HS,19.4,38.5,13.8,2017
7647,PHILADELPHIA PERF ARTS CS,26.3,53.6,27.7,2017
7540,PREPARATORY CS OF MATH SCIENCE T,40.7,58.9,50.8,2017
8083,SANKOFA FREEDOM ACADEMY CS,37.5,55,15,2017
8126,TACONY ACADEMY CHARTER SCHOOL,19.6,33,20.7,2017
8195,UNIVERSAL AUDENRIED CS,17.8,29.3,14.5,2017
7512,WORLD COMMUNICATIONS CS,8.6,31,6,2017
5261,DELAWARE VALLEY HS,53.1,76.8,41.2,2017
4310,WALLENPAUPACK AREA H,54.5,72.7,38.2,2017
6222,AUSTIN AREA JSHS,,,,2017
3869,COUDERSPORT AREA JSH,54.2,75,48.3,2017
6223,GALETON AREA SCH,38.5,84.6,61.5,2017
3875,NORTHERN POTTER JSHS,47.1,64.1,29.7,2017
3877,OSWAYO VALLEY HS,68.6,77.8,52.8,2017
3891,BLUE MOUNTAIN HS,55.3,74.7,48.4,2017
8161,GILLINGHAM CS,16.7,33.3,33.3,2017
7012,MAHANOY AREA HS,27.1,56.8,31.8,2017
6583,MINERSVILLE AREA JSH,45.5,48.4,38.7,2017
3883,NORTH SCHUYLKILL JSHS,41,68.4,44.8,2017
3910,PINE GROVE AREA HS,57.3,69.4,46.8,2017
3924,POTTSVILLE AREA HS,48.1,69.1,42.4,2017
5264,SCHUYLKILL HAVEN  HS,62.4,73.3,48.5,2017
3940,SHENANDOAH VALLEY JS,45.3,41.3,42.7,2017
5070,TAMAQUA AREA SHS,42.3,69.7,36.8,2017
3957,TRI-VALLEY JSHS,57.1,57.1,50,2017
3914,WILLIAMS VALLEY JSHS,43.4,64.8,38.5,2017
3962,MIDD-WEST HS,58.2,69.5,42.7,2017
3969,SELINSGROVE AREA HS,58.3,65.6,39.1,2017
6207,BERLIN BROTHERSVALLE SHS,47.7,84.6,48.4,2017
3978,CONEMAUGH TWP AREA J,56.3,69.4,40.3,2017
3994,MEYERSDALE AREA HS,46.2,70.8,29.2,2017
3988,NORTH STAR HS,55.6,76.9,57.8,2017
6210,ROCKWOOD AREA JSHS,69.8,77.4,64.2,2017
4002,SALISBURY-ELK LICK JSH,18.2,63.6,31.8,2017
4006,SHADE JSHS,40.6,56.3,28.1,2017
6800,SHANKSVILLE-STNYCRK HS,56.5,65.2,26.1,2017
8274,SOMERSET AREA JR-SR HS,59,75.1,32.4,2017
6216,TURKEYFOOT VALLEY AR JS,25,41.7,12.5,2017
4026,WINDBER AREA HS,44.8,65.9,42.5,2017
4030,SULLIVAN CO JSHS,63.4,53.7,43.9,2017
4034,BLUE RIDGE HS,52.2,68.2,30.3,2017
6418,ELK LAKE JSHS,50.5,66.3,42.1,2017
6419,FOREST CITY REG HS,62.5,62.5,40.8,2017
4044,MONTROSE AREA JSHS,48.4,81.9,42.9,2017
4049,MOUNTAIN VIEW JSHS,46.5,73.2,34.3,2017
4054,SUSQUEHANNA COMM JS,42.9,73.5,50,2017
4058,COWANESQUE VALLEY JS,51,77.6,52.1,2017
6373,WILLIAMSON SHS,57.3,75.9,49.4,2017
4064,LIBERTY JSHS,36.5,62,37.5,2017
4068,MANSFIELD JSHS,64,63.2,33.3,2017
4080,WELLSBORO AREA HS,56.1,70.1,29.9,2017
4085,LEWISBURG HS,66.1,75.1,35.3,2017
4091,MIFFLINBURG AREA SHS,61.7,74.6,50.4,2017
4098,CRANBERRY AREA JSHS,49.4,73.3,37.2,2017
4106,FRANKLIN AREA HS,49.6,66.9,38.7,2017
4931,OIL CITY AREA SHS,62.6,69.7,45.8,2017
1668,TITUSVILLE SHS,60.3,70.2,39.7,2017
4126,ROCKY GROVE JSHS,51.6,59.7,50,2017
7833,TIDIOUTE COMMUNITY CS,45,65,55,2017
4143,EISENHOWER MS/HS,65.2,72.1,49.3,2017
4146,SHEFFIELD MS/HS,59,73.2,50,2017
4149,WARREN AREA HS,48.2,65.1,39.1,2017
4135,YOUNGSVILLE HS,57.4,61.3,54.8,2017
4165,AVELLA AREA JSHS,58.8,80.6,67.6,2017
4188,BENTWORTH SHS,42.9,69.6,40.5,2017
4181,BETHLEHEM-CENTER SHS,34.6,62.8,38.5,2017
4195,BURGETTSTOWN MIDDLE/HIGH SCHOO,40.9,51.1,32.3,2017
4203,CALIFORNIA AREA SHS,50.6,75,54,2017
4217,CANON-MCMILLAN SHS,45.9,74,39.6,2017
4715,CHARLEROI AREA HS,43.7,61,41,2017
4235,CHARTIERS-HOUSTON JS,44.1,76.8,57.4,2017
4242,FORT CHERRY JSHS,62.5,72.2,37,2017
4249,MCGUFFEY HS,52.5,69.2,50.8,2017
5083,PETERS TWP HS,50.9,84.3,42.1,2017
7019,RINGGOLD SHS,29.6,59.9,33,2017
6012,TRINITY SHS,60.3,76.5,52.9,2017
4286,WASHINGTON HS,52.7,61.1,44.2,2017
4295,HONESDALE HS,43.6,73.8,42.8,2017
6704,WESTERN WAYNE HS,49,68.9,43.3,2017
4930,BELLE VERNON AREA HS,52.5,79.5,37.8,2017
4340,BURRELL HS,49.6,57.8,42.4,2017
4352,CENTRAL WESTMORELAND CTC,,77.4,35.6,2017
7550,DERRY AREA SHS,49.3,42.9,7.1,2017
4360,DR ROBERT KETTERER CS,21.4,70.2,31.9,2017
4845,FRANKLIN REGIONAL SH,36.8,72.7,30.9,2017
4373,GREATER LATROBE SHS,46,64.4,31.8,2017
4404,GREENSBURG-SALEM HS,48,73.4,37,2017
4412,HEMPFIELD AREA SHS,50.1,57.7,39.2,2017
4431,JEANNETTE SHS,55.8,68,37,2017
4442,KISKI AREA HS,47.9,74,39.4,2017
6181,LIGONIER VALLEY SHS,55.1,41.2,28,2017
4458,MONESSEN SHS,18.8,76.1,48.5,2017
8323,MOUNT PLEASANT SHS,59.5,30.9,25.7,2017
4717,VALLEY JSHS,22.2,67.5,36.1,2017
6648,NORWIN SHS,54.5,72,45.7,2017
6191,PENN TRAFFORD HS,66.1,78.7,47.5,2017
4735,SOUTHMORELAND SHS,59.6,66.7,34.1,2017
4528,YOUGH SHS,40.9,67.9,38.8,2017
5271,LACKAWANNA TRAIL JSH,45,78.2,43.9,2017
4545,TUNKHANNOCK HS,44.6,68.8,42.8,2017
4553,CENTRAL YORK HS,37.6,71.4,40.3,2017
4558,DALLASTOWN AREA SHS,41.4,58.7,37.1,2017
4564,DOVER AREA HS,46.9,69.2,45.5,2017
4571,EASTERN YORK HS,54.8,46.1,38.6,2017
8041,HANOVER SHS,43.3,27.1,7,2017
4577,HELEN THACKSTON CHARTER SCHOOL,8.2,64.2,43.7,2017
6345,NORTHEASTERN SHS,46,67.7,36.4,2017
4598,NORTHERN HS,43.7,64.1,43.4,2017
4602,RED LION AREA SHS,43.2,70.3,45.7,2017
4608,KENNARD-DALE HS,49.4,73.9,39.3,2017
4614,SOUTH WESTERN SHS,42.4,71.8,50.7,2017
4623,SUSQUEHANNOCK HS,61.5,76.9,43.3,2017
1732,SPRING GROVE AREA SH,46.1,67.2,26.3,2017
4704,CEDAR CLIFF HS,44.7,64.5,36.4,2017
6705,RED LAND SHS,55.6,74.7,48.2,2017
4647,WEST YORK AREA SHS,49.2,37.9,21.3,2017
5168,WILLIAM PENN SHS,17.8,58.6,39.4,2017
4658,YORK CO SCHOOL OF TECH,53.4,59,28.2,2017
3,BERMUDIAN SPRINGS HS,44,68.3,44.4,2016
17,NEW OXFORD SHS,51.3,70.7,40,2016
6269,FAIRFIELD AREA HS,44.2,66.2,37.7,2016
6271,GETTYSBURG AREA HS,49.2,73.4,40.4,2016
14,LITTLESTOWN SHS,56.9,73.3,41.9,2016
21,BIGLERVILLE HS,46.5,69.3,28.3,2016
5273,A W BEATTIE CAREER CENTER,,,16.7,2016
7846,ACADEMY CHARTER SCHOOL,0,0,0,2016
29,SPRINGDALE JSHS,56.9,68.6,40.8,2016
5199,AVONWORTH SHS,45,80.2,41.4,2016
50,BALDWIN SHS,69.4,77.6,52.1,2016
62,BETHEL PARK SHS,49.9,78.3,44.7,2016
70,BRENTWOOD SHS,66.7,74.1,52.9,2016
79,CARLYNTON JSHS,45,70,42.6,2016
6706,CHARTIERS VALLEY HS,59.6,69.9,54.7,2016
7727,CITY CHS,49.6,72.2,49.2,2016
8094,CLAIRTON MS/HS,51.3,63.2,35.9,2016
8087,CORNELL HS,50,68.4,47.4,2016
513,DEER LAKES HS,39.6,79.5,37.2,2016
8340,EAST ALLEGHENY JSHS,30.1,56.5,36.6,2016
144,ELIZABETH FORWARD SH,58.4,65.4,45.4,2016
5016,FORBES RD CAREER & TECH CTR,21.1,41.7,16.7,2016
156,FOX CHAPEL AREA SHS,56.7,72.6,38.4,2016
170,GATEWAY SHS,62.6,60.7,39.3,2016
5190,HAMPTON HS,40.9,61.3,39,2016
5153,HIGHLANDS HS,50.6,63.9,34.8,2016
8308,HILL HOUSE PASSPORT ACADEMY CS,1.9,14.3,0,2016
5112,KEYSTONE OAKS HS,65.2,77.6,44.7,2016
6105,MCKEESPORT AREA SHS,31.6,52.3,26.1,2016
6672,MCKEESPORT AREA TECH CTR,,,,2016
5017,MONTOUR HS,64.3,75.4,44.7,2016
4951,MOON SHS,64.2,77.5,42.3,2016
254,MT LEBANON SHS,59.2,74.1,43.9,2016
8305,NORTH ALLEGHENY HIGH SCHOOL,51.6,64.5,33.6,2016
7101,NORTH HILLS SHS,44.1,70.4,47.2,2016
53,NORTHGATE JSHS,44.9,59,26.6,2016
7821,PA DISTANCE LEARNING CS,28.6,57.1,37.1,2016
5274,PARKWAY WEST AVTS,,,,2016
309,PENN HILLS SHS,33,53.7,31.4,2016
315,PINE-RICHLAND HS,49.1,80.1,47.1,2016
8203,ACADEMY AT WESTINGHOUSE,19.3,23.2,6.9,2016
409,ALLDERDICE HS,47,65,27.6,2016
6915,BRASHEAR HS,31.9,47.6,26.6,2016
412,CARRICK HS,51.8,74.9,37.8,2016
416,PERRY TRADITIONAL ACAD HS,17.2,36.9,9.7,2016
8106,PITTSBURGH CAPA 6-12,45.4,70.9,34.8,2016
8110,PITTSBURGH MILLIONES 6-12,22.1,32.3,8.7,2016
8105,PITTSBURGH OBAMA 6-12,61.9,85.6,43.8,2016
8300,PITTSBURGH ONLINE ACADEMY,30.6,48.6,19.4,2016
8107,PITTSBURGH SCIENCE & TECH ACAD,67.4,85.4,60.7,2016
435,PLUM SHS,71.8,73.4,45.9,2016
8129,PROPEL CS - BRADDOCK HILLS,43.3,50.8,17.7,2016
7772,PROPEL CS - HOMESTEAD,39.5,47.4,21.1,2016
448,QUAKER VALLEY HS,49.7,67.1,23.3,2016
6928,RIVERVIEW HS,40.8,66.7,33.3,2016
460,SHALER AREA HS,62.2,78.1,47.8,2016
440,SOUTH ALLEGHENY MS/HS,46.7,67.4,46.7,2016
470,SOUTH FAYETTE TWP HS,55.2,69.6,44.3,2016
467,SOUTH PARK SHS,55.2,76.4,38.9,2016
7648,SPECTRUM CS,,,,2016
