school_number,number_of_students,number_of_low_income_students,year
62,"1,381",169,2019
4902,256,15,2019
61,632,125,2019
7327,614,88,2019
60,188,25,2019
5063,354,103,2019
3464,519,463,2019
3436,249,167,2019
3453,376,233,2019
6722,461,437,2019
4956,"1,050",466,2019
3456,421,124,2019
6723,536,463,2019
4957,"1,875",963,2019
3458,357,299,2019
3449,466,253,2019
3459,239,30,2019
3442,293,177,2019
3465,"2,665","1,610",2019
3443,358,275,2019
3454,281,270,2019
3455,377,109,2019
3463,773,343,2019
3462,768,564,2019
3452,525,233,2019
6633,223,157,2019
6634,232,177,2019
5286,"1,311",613,2019
6975,490,265,2019
5267,250,145,2019
4181,386,198,2019
649,458,339,2019
648,369,288,2019
650,359,223,2019
642,501,420,2019
1677,794,281,2019
6326,570,233,2019
7951,401,143,2019
1676,388,212,2019
7355,401,147,2019
6707,733,188,2019
7127,317,102,2019
6558,764,229,2019
6559,328,107,2019
6560,177,50,2019
6828,349,132,2019
5135,325,160,2019
7418,451,275,2019
2317,227,117,2019
4706,284,148,2019
2352,256,125,2019
2353,276,124,2019
0,325,188,2019
1610,98,37,2019
1612,418,159,2019
1611,370,198,2019
1606,402,218,2019
1608,209,66,2019
7419,168,56,2019
4659,615,176,2019
3887,294,103,2019
3891,862,228,2019
5263,606,170,2019
6891,495,261,2019
4034,278,126,2019
7400,227,107,2019
6804,926,182,2019
6305,759,301,2019
6306,"2,183",577,2019
6307,439,171,2019
762,265,129,2019
763,225,68,2019
754,725,163,2019
755,659,83,2019
761,214,70,2019
766,519,177,2019
7981,825,420,2019
4691,750,422,2019
3092,598,351,2019
7037,654,447,2019
7281,579,397,2019
768,410,143,2019
6308,482,156,2019
8383,528,187,2019
7342,269,136,2019
70,383,196,2019
69,325,196,2019
68,234,114,2019
1014,291,201,2019
7743,225,168,2019
1013,745,544,2019
8368,988,624,2019
8369,997,680,2019
8367,"1,119",696,2019
8407,829,487,2019
1027,785,564,2019
1029,"1,582",993,2019
5148,514,224,2019
2362,448,207,2019
6162,667,274,2019
5231,463,238,2019
6163,96,46,2019
2368,237,119,2019
8384,739,577,2019
4818,464,243,2019
2154,343,326,2019
0,713,0,2019
7670,205,0,2019
1030,"1,459",614,2019
7477,479,206,2019
4195,571,232,2019
4333,508,179,2019
4340,598,194,2019
4339,432,169,2019
4336,268,105,2019
6690,"1,521",599,2019
8344,"1,444",483,2019
8343,989,432,2019
1148,695,224,2019
1150,246,44,2019
1134,266,142,2019
1138,439,191,2019
1142,321,103,2019
1184,235,76,2019
6999,936,431,2019
7221,331,166,2019
8051,145,68,2019
6939,118,60,2019
4203,276,118,2019
7347,561,280,2019
1199,327,151,2019
5212,439,167,2019
1299,226,100,2019
1298,299,147,2019
7509,349,67,2019
1682,417,66,2019
1678,285,51,2019
1680,249,32,2019
4211,287,39,2019
4217,"1,702",385,2019
7217,834,225,2019
7216,429,99,2019
4938,234,34,2019
8397,735,193,2019
7764,422,108,2019
4937,457,171,2019
4214,270,41,2019
5303,478,281,2019
988,439,222,2019
0,335,154,2019
8278,200,16,2019
4870,418,156,2019
2420,721,449,2019
7457,744,461,2019
0,495,260,2019
5109,676,371,2019
1692,415,209,2019
1694,"1,573",541,2019
1689,476,186,2019
1691,417,320,2019
7011,589,257,2019
1683,247,142,2019
1690,335,154,2019
1686,247,153,2019
1687,188,58,2019
7010,624,315,2019
79,596,258,2019
77,414,179,2019
78,345,108,2019
7315,499,290,2019
7112,352,180,2019
8345,213,110,2019
2797,477,298,2019
2798,471,242,2019
6593,562,352,2019
8222,757,242,2019
7271,695,271,2019
7274,615,245,2019
5007,830,459,2019
1040,"1,770",667,2019
8200,791,349,2019
7726,162,113,2019
4683,642,194,2019
7796,699,43,2019
1044,440,23,2019
1081,844,83,2019
5133,"1,517",133,2019
7790,"1,724",197,2019
1043,"1,503",222,2019
7435,490,25,2019
4852,472,55,2019
1048,407,17,2019
7653,880,168,2019
5307,994,77,2019
7520,554,32,2019
1047,514,23,2019
1041,897,103,2019
1057,417,51,2019
7654,709,36,2019
5306,477,43,2019
1042,852,141,2019
1131,644,77,2019
7715,909,111,2019
4678,875,75,2019
1132,563,55,2019
6646,458,184,2019
1208,532,168,2019
1202,369,126,2019
1205,218,78,2019
7201,713,239,2019
5390,622,203,2019
1619,569,134,2019
1744,829,610,2019
1746,"1,520",941,2019
7820,800,184,2019
1745,"1,815",390,2019
1812,224,136,2019
7306,311,196,2019
1777,398,106,2019
6783,812,244,2019
1791,289,68,2019
1782,388,165,2019
1781,642,333,2019
1795,229,155,2019
1778,686,182,2019
1779,390,259,2019
1811,422,273,2019
1780,816,616,2019
1742,585,409,2019
5320,444,359,2019
1817,523,117,2019
2248,492,247,2019
6252,268,102,2019
7734,249,112,2019
6010,394,194,2019
7476,704,375,2019
5118,519,205,2019
0,45,21,2019
4967,823,532,2019
7720,142,98,2019
5094,463,225,2019
0,445,0,2019
8045,507,157,2019
8044,718,206,2019
8043,556,167,2019
8046,533,167,2019
6172,"1,067",484,2019
4545,"1,809",552,2019
4544,942,349,2019
4537,553,305,2019
4540,661,283,2019
4539,592,108,2019
7696,672,215,2019
5088,497,199,2019
7552,79,19,2019
8047,620,556,2019
2192,274,214,2019
8244,702,263,2019
2190,"1,210",716,2019
6615,"1,072",687,2019
2191,"2,128","1,077",2019
4825,269,128,2019
6273,464,259,2019
2208,266,156,2019
2215,269,113,2019
6274,606,468,2019
2225,141,80,2019
8375,154,86,2019
8324,198,128,2019
2209,442,161,2019
2216,311,149,2019
2196,284,256,2019
7258,634,423,2019
4715,434,244,2019
7157,364,212,2019
7578,552,473,2019
6706,998,283,2019
7415,747,222,2019
94,704,232,2019
7445,863,221,2019
4234,631,197,2019
4235,521,161,2019
5250,734,268,2019
3250,426,168,2019
3260,"1,382",456,2019
3257,724,247,2019
3256,417,119,2019
3252,341,145,2019
3255,354,99,2019
8258,677,552,2019
7514,79,69,2019
7539,"4,456","4,456",2019
0,911,459,2019
7292,982,367,2019
7860,845,363,2019
7293,425,122,2019
6492,900,817,2019
8020,411,399,2019
1958,377,359,2019
8303,432,415,2019
1829,297,292,2019
8302,372,332,2019
730,302,151,2019
729,473,218,2019
732,536,221,2019
1843,306,152,2019
7276,"1,029",707,2019
1849,926,601,2019
5322,317,148,2019
1847,305,237,2019
1893,317,244,2019
7575,948,380,2019
8262,414,94,2019
7727,552,366,2019
7371,369,331,2019
8094,374,324,2019
5217,386,199,2019
1475,335,124,2019
6909,332,181,2019
1480,385,144,2019
1479,447,212,2019
7374,415,278,2019
921,401,242,2019
8315,"1,111",614,2019
6236,"1,026",461,2019
5276,357,187,2019
1376,372,206,2019
8415,96,63,2019
5012,880,372,2019
8416,908,452,2019
1374,398,221,2019
1375,458,227,2019
8467,774,456,2019
1370,729,401,2019
7334,450,256,2019
7767,409,235,2019
2510,417,143,2019
6289,732,263,2019
6290,947,255,2019
2506,487,183,2019
5053,386,135,2019
7628,"3,127","1,230",2019
0,"1,492",768,2019
7143,774,177,2019
5077,"1,181",301,2019
3261,190,70,2019
4711,589,136,2019
3333,"1,524",289,2019
3332,525,88,2019
3411,442,48,2019
2515,396,248,2019
8326,404,275,2019
7056,542,361,2019
5178,644,322,2019
6122,204,81,2019
7450,250,148,2019
7774,"9,294","5,136",2019
7510,"1,220","1,090",2019
3977,375,185,2019
3978,513,216,2019
5213,384,205,2019
5136,303,154,2019
2517,517,149,2019
2532,"1,280",418,2019
5113,690,325,2019
2531,647,234,2019
2522,420,215,2019
2521,599,263,2019
6268,550,229,2019
7822,903,424,2019
6267,594,293,2019
6898,634,297,2019
17,"1,227",485,2019
8224,614,325,2019
8225,307,170,2019
6132,338,173,2019
6133,320,179,2019
8226,279,144,2019
6643,523,383,2019
2097,404,231,2019
2105,"1,071",733,2019
5228,"1,175",665,2019
5048,589,376,2019
2172,318,209,2019
4939,513,399,2019
7284,457,145,2019
777,848,288,2019
7651,813,292,2019
5203,438,216,2019
6944,307,190,2019
8087,268,168,2019
4800,"1,539",555,2019
6301,"1,169",461,2019
6302,536,142,2019
2728,617,271,2019
2729,631,249,2019
7300,411,225,2019
1998,610,362,2019
1997,421,264,2019
7793,497,308,2019
8311,458,312,2019
3868,400,177,2019
3869,363,156,2019
1088,538,66,2019
5096,"1,605",156,2019
7749,"2,021",290,2019
1086,775,54,2019
7208,483,41,2019
4680,458,42,2019
8447,950,126,2019
7657,561,49,2019
7432,672,49,2019
6453,814,52,2019
1087,359,31,2019
5308,405,72,2019
1130,759,31,2019
8469,368,30,2019
4098,515,245,2019
6595,636,322,2019
5037,380,177,2019
1632,382,142,2019
1651,413,271,2019
1654,821,384,2019
1653,458,255,2019
1650,295,152,2019
1645,338,259,2019
7194,349,187,2019
5179,495,237,2019
8446,"1,379",240,2019
2858,666,150,2019
5341,795,147,2019
7624,97,83,2019
7290,726,595,2019
5277,"1,132",0,2019
1701,"2,809",561,2019
6714,938,215,2019
1700,492,81,2019
5020,479,74,2019
1697,357,159,2019
1698,523,117,2019
4849,"1,311",278,2019
1696,550,71,2019
1699,454,83,2019
1695,576,145,2019
8438,925,187,2019
6238,549,246,2019
1529,489,255,2019
2868,600,200,2019
5150,589,152,2019
2869,796,196,2019
7596,525,131,2019
8132,"1,544",558,2019
6598,"1,061",364,2019
4553,"1,928",581,2019
4546,186,99,2019
4701,158,39,2019
4547,487,114,2019
4551,603,216,2019
4549,459,154,2019
4810,"1,098",298,2019
8285,692,238,2019
7544,811,256,2019
8007,613,160,2019
3424,530,146,2019
3425,661,164,2019
8201,551,201,2019
4833,528,189,2019
7627,32,,2019
5278,"1,012",529,2019
8425,324,137,2019
511,376,143,2019
513,567,137,2019
7595,458,125,2019
6695,429,136,2019
0,381,235,2019
7058,560,14,2019
7057,584,24,2019
7162,460,173,2019
5261,"1,517",484,2019
3865,523,173,2019
3864,495,206,2019
7408,545,217,2019
7625,508,232,2019
3866,413,130,2019
4351,472,220,2019
4352,569,226,2019
6927,860,423,2019
7731,476,120,2019
4801,"1,225",260,2019
7186,495,126,2019
6678,841,181,2019
1749,471,115,2019
7775,582,362,2019
2539,917,307,2019
8228,953,388,2019
7165,463,196,2019
7786,646,254,2019
8229,467,214,2019
4558,"1,004",404,2019
6283,567,291,2019
4557,498,252,2019
7555,476,219,2019
4556,481,251,2019
1391,487,89,2019
7266,575,82,2019
1431,530,35,2019
7759,"1,720",214,2019
1387,"1,736",260,2019
7517,"1,126",131,2019
8174,825,34,2019
5011,538,113,2019
6476,641,83,2019
7516,"1,107",122,2019
8309,"1,044",125,2019
1432,436,18,2019
7265,602,26,2019
7990,598,51,2019
6621,485,37,2019
6477,629,49,2019
7550,177,159,2019
2385,329,198,2019
1541,"1,122",652,2019
6156,"1,029",515,2019
6157,324,159,2019
1532,263,121,2019
6918,397,258,2019
6591,789,340,2019
8312,703,229,2019
7908,410,357,2019
8340,749,424,2019
8339,789,483,2019
3021,218,98,2019
3018,150,56,2019
6364,761,275,2019
3019,551,243,2019
2799,359,114,2019
2809,"2,868",742,2019
7560,887,178,2019
2808,277,112,2019
2802,430,177,2019
7559,"1,109",373,2019
2804,526,140,2019
5239,658,148,2019
4827,530,157,2019
8133,683,146,2019
5220,816,294,2019
1707,780,235,2019
1705,543,196,2019
4850,459,162,2019
7536,356,223,2019
8016,641,317,2019
7641,996,465,2019
6935,"1,332",582,2019
3204,451,296,2019
7366,946,473,2019
7642,685,388,2019
3201,430,263,2019
7411,470,237,2019
3202,361,180,2019
4822,522,188,2019
2552,522,254,2019
2500,477,194,2019
7209,495,211,2019
2554,983,359,2019
4707,558,262,2019
8137,603,248,2019
6612,581,226,2019
2740,732,263,2019
6611,330,144,2019
2735,223,61,2019
6174,492,247,2019
4559,389,179,2019
4564,713,312,2019
7439,608,282,2019
6285,362,157,2019
4563,346,186,2019
4915,532,370,2019
3482,"2,875","1,412",2019
8351,"2,138","1,044",2019
3477,403,121,2019
3478,293,129,2019
3473,618,291,2019
5350,558,458,2019
8058,643,184,2019
5064,562,213,2019
8391,369,231,2019
136,294,62,2019
4804,562,207,2019
144,686,237,2019
8115,201,82,2019
142,194,86,2019
139,349,161,2019
2555,227,47,2019
8190,930,321,2019
2561,398,152,2019
6862,653,225,2019
2562,"1,242",330,2019
2558,202,77,2019
2559,221,50,2019
6417,637,357,2019
6418,535,275,2019
8166,262,132,2019
2675,723,344,2019
8167,376,207,2019
8165,256,128,2019
8028,896,239,2019
2564,275,121,2019
2568,476,184,2019
8458,675,302,2019
6712,678,280,2019
6293,"1,294",478,2019
2563,346,178,2019
2570,420,186,2019
2003,435,399,2019
8419,652,581,2019
2004,424,383,2019
8417,"2,149","1,652",2019
2001,612,431,2019
2009,576,473,2019
2011,476,381,2019
2021,607,408,2019
2013,456,360,2019
2016,514,469,2019
7515,860,344,2019
2018,485,400,2019
7035,560,521,2019
8420,824,598,2019
2025,771,598,2019
5045,693,426,2019
8163,450,449,2019
7665,"1,634","1,356",2019
8216,445,426,2019
7564,521,350,2019
735,90,51,2019
7006,462,260,2019
7897,396,232,2019
7898,289,168,2019
7866,105,0,2019
8325,"1,325",934,2019
787,581,183,2019
788,"1,303",338,2019
6731,377,169,2019
786,430,158,2019
783,560,159,2019
7755,623,221,2019
6270,335,73,2019
6269,324,50,2019
7322,284,67,2019
7466,676,164,2019
6737,546,115,2019
2032,587,123,2019
6826,167,92,2019
7508,126,53,2019
2201,139,61,2019
7119,357,357,2019
5248,281,281,2019
4842,575,344,2019
7746,146,97,2019
1225,262,152,2019
1223,341,199,2019
7744,"1,875","1,252",2019
791,239,86,2019
6311,755,273,2019
5023,847,259,2019
8057,571,183,2019
7857,502,264,2019
5016,716,296,2019
6840,213,121,2019
2246,146,64,2019
6160,72,42,2019
6159,79,41,2019
6701,138,73,2019
6161,121,61,2019
6420,456,262,2019
6419,324,141,2019
6899,983,464,2019
8382,827,400,2019
7187,480,234,2019
4242,493,224,2019
5328,563,275,2019
2037,657,331,2019
5226,127,67,2019
2036,392,153,2019
2035,365,206,2019
147,935,208,2019
149,374,21,2019
156,"1,333",293,2019
6780,367,87,2019
153,394,167,2019
461,672,88,2019
4667,443,336,2019
4106,857,420,2019
4101,344,170,2019
6166,231,134,2019
5119,462,195,2019
7602,776,138,2019
4360,"1,137",179,2019
7163,604,120,2019
4354,238,41,2019
4357,614,58,2019
8123,954,505,2019
7666,"1,192",722,2019
6686,520,258,2019
2126,340,137,2019
7176,251,104,2019
8150,698,630,2019
8357,436,234,2019
8356,407,213,2019
6563,426,164,2019
591,600,105,2019
8346,445,114,2019
594,582,136,2019
592,258,117,2019
7586,"1,016",789,2019
7192,125,15,2019
6223,340,209,2019
7714,451,38,2019
6506,748,66,2019
7486,727,60,2019
1869,"1,569",119,2019
7313,"1,179",84,2019
161,323,207,2019
157,251,108,2019
167,561,293,2019
170,"1,088",560,2019
169,511,312,2019
5191,365,164,2019
165,331,144,2019
2038,409,152,2019
2040,709,267,2019
5225,660,259,2019
2039,337,120,2019
8176,376,171,2019
6271,"1,141",377,2019
10,783,361,2019
5126,394,214,2019
7592,415,201,2019
8147,235,71,2019
8161,249,177,2019
2042,642,378,2019
2043,491,254,2019
6777,500,310,2019
6952,363,184,2019
5219,351,163,2019
7639,687,687,2019
8390,615,615,2019
793,522,192,2019
794,437,229,2019
801,723,342,2019
802,"1,447",626,2019
6794,626,301,2019
8096,462,228,2019
1368,365,31,2019
7695,570,67,2019
1424,"1,337",186,2019
1422,"1,072",163,2019
6479,579,107,2019
1461,505,88,2019
6193,"1,043",629,2019
5288,400,300,2019
8405,"1,252","1,152",2019
1252,667,528,2019
1251,937,774,2019
8314,44,35,2019
4379,531,217,2019
6957,587,181,2019
4845,"1,264",392,2019
4386,662,353,2019
4380,591,118,2019
7768,521,362,2019
8430,536,384,2019
5242,720,457,2019
8429,489,354,2019
7748,674,40,2019
2202,681,221,2019
5117,773,235,2019
7427,645,218,2019
2206,928,227,2019
5282,306,177,2019
7329,597,198,2019
4373,782,300,2019
4372,634,338,2019
5166,316,189,2019
5165,307,98,2019
8428,667,406,2019
3137,627,302,2019
7062,347,125,2019
6341,244,79,2019
7468,186,62,2019
8409,7,7,2019
6125,225,225,2019
7316,82,82,2019
3145,625,203,2019
8202,438,171,2019
3143,252,93,2019
6844,547,197,2019
5038,415,174,2019
6330,256,72,2019
6331,249,97,2019
808,682,282,2019
7447,522,242,2019
809,351,143,2019
7992,544,294,2019
175,456,60,2019
5190,949,133,2019
179,678,100,2019
178,333,32,2019
176,373,60,2019
2891,932,457,2019
7007,466,270,2019
8199,299,191,2019
2888,290,192,2019
8470,61,61,2019
4565,263,151,2019
4570,634,408,2019
4571,519,270,2019
4566,297,227,2019
4568,237,105,2019
7511,564,361,2019
2047,281,110,2019
2048,343,129,2019
7948,690,223,2019
2046,329,111,2019
5227,473,173,2019
7195,132,64,2019
8316,120,35,2019
8268,770,692,2019
8264,712,605,2019
8376,242,203,2019
8265,384,365,2019
1766,542,514,2019
6333,992,759,2019
7902,363,207,2019
8266,129,115,2019
7901,338,284,2019
8267,609,532,2019
7623,819,695,2019
7667,566,524,2019
5079,421,183,2019
3271,616,207,2019
3272,"1,511",408,2019
6639,"1,084",315,2019
3267,276,102,2019
3270,702,84,2019
1871,608,63,2019
1876,646,55,2019
1877,535,54,2019
1878,"1,554",227,2019
1879,"1,886",324,2019
1874,600,77,2019
1875,718,122,2019
5151,735,388,2019
7937,439,190,2019
7661,734,178,2019
6718,911,413,2019
8333,488,234,2019
7348,"3,513","1,529",2019
7936,802,506,2019
6930,"1,106",645,2019
8334,971,614,2019
8245,780,294,2019
7340,915,176,2019
7569,900,543,2019
4389,497,187,2019
7268,418,138,2019
4404,"1,789",493,2019
4394,435,92,2019
5359,553,225,2019
7269,473,113,2019
4399,493,211,2019
7270,416,157,2019
4400,424,121,2019
5236,512,124,2019
5055,598,215,2019
2574,469,219,2019
2577,536,199,2019
2578,"2,187",697,2019
6294,488,139,2019
7421,526,170,2019
7442,575,140,2019
2576,646,268,2019
2575,472,187,2019
3146,600,271,2019
8069,318,123,2019
3150,828,261,2019
3147,321,145,2019
182,241,121,2019
191,656,364,2019
7202,761,392,2019
5153,720,302,2019
7097,486,247,2019
7381,557,186,2019
6195,649,250,2019
927,808,292,2019
5207,838,283,2019
6797,418,204,2019
2331,418,187,2019
8154,168,148,2019
672,387,80,2019
674,676,214,2019
675,597,176,2019
671,280,72,2019
7280,214,54,2019
8209,275,79,2019
5333,458,221,2019
2305,555,229,2019
7525,349,157,2019
7620,452,264,2019
6606,287,163,2019
8155,408,251,2019
7542,571,475,2019
7683,818,427,2019
8361,611,403,2019
2314,446,211,2019
4964,376,148,2019
2321,225,90,2019
2322,216,84,2019
2324,671,258,2019
2325,903,339,2019
7032,476,245,2019
7765,255,31,2019
8371,567,507,2019
7557,266,202,2019
8394,"1,852",991,2019
1881,610,363,2019
1885,"1,057",507,2019
7643,271,149,2019
1883,534,275,2019
6508,555,278,2019
4847,340,222,2019
0,299,190,2019
2052,643,479,2019
4817,582,414,2019
6127,204,85,2019
6126,219,80,2019
8421,447,243,2019
8024,558,322,2019
5180,374,233,2019
7029,442,221,2019
2280,312,145,2019
3276,396,66,2019
8049,334,53,2019
3031,178,90,2019
5243,651,318,2019
3034,709,283,2019
3033,585,256,2019
5060,168,66,2019
1307,597,296,2019
6965,739,395,2019
7785,661,378,2019
8149,888,789,2019
5326,298,157,2019
6218,277,132,2019
8452,466,233,2019
2394,489,205,2019
8451,680,347,2019
6255,588,282,2019
7220,417,213,2019
5230,304,158,2019
2308,421,183,2019
5244,449,278,2019
5245,364,161,2019
3100,251,134,2019
1153,445,208,2019
1154,619,270,2019
7396,257,142,2019
8172,438,242,2019
1401,569,277,2019
6482,"1,362",566,2019
6834,"1,006",429,2019
8171,278,115,2019
1400,503,185,2019
7979,673,546,2019
7067,439,222,2019
7795,98,68,2019
6241,122,84,2019
7589,"1,081",507,2019
7590,843,451,2019
4815,239,174,2019
4917,218,124,2019
1570,321,150,2019
6242,183,132,2019
6245,375,270,2019
1588,267,130,2019
7506,149,135,2019
7461,369,123,2019
203,224,41,2019
5112,571,202,2019
7462,450,192,2019
204,313,159,2019
6694,438,201,2019
1486,479,193,2019
8358,547,478,2019
8431,299,263,2019
7776,859,742,2019
8363,396,349,2019
8124,355,309,2019
7191,464,322,2019
4431,"1,120",420,2019
7189,551,260,2019
7190,566,204,2019
4516,295,111,2019
8277,574,286,2019
810,213,84,2019
6315,329,114,2019
816,444,136,2019
6316,380,127,2019
7538,228,228,2019
7565,592,330,2019
4524,501,179,2019
4528,475,180,2019
7146,284,156,2019
6403,430,145,2019
6404,700,256,2019
2924,853,261,2019
7060,285,125,2019
2922,403,104,2019
2920,179,81,2019
3155,337,134,2019
7069,216,106,2019
3154,390,196,2019
2606,653,165,2019
7939,686,162,2019
2607,993,243,2019
6297,703,198,2019
5285,408,107,2019
5283,410,109,2019
5284,526,130,2019
2598,321,284,2019
7182,394,380,2019
2599,742,596,2019
2581,387,361,2019
2589,538,523,2019
2592,472,417,2019
2593,515,508,2019
2597,373,293,2019
5056,478,457,2019
2584,501,472,2019
2595,501,463,2019
2596,"2,631","2,381",2019
7922,350,343,2019
6762,473,439,2019
2594,489,434,2019
2587,300,275,2019
2590,367,292,2019
2600,577,524,2019
2591,395,367,2019
0,782,421,2019
2146,293,137,2019
2163,336,91,2019
4700,362,153,2019
5146,674,308,2019
6600,867,431,2019
4820,271,103,2019
7001,535,149,2019
2680,362,89,2019
8432,151,36,2019
4940,368,212,2019
5156,609,27,2019
6616,647,519,2019
5337,375,295,2019
2754,"1,141",864,2019
5155,"1,344",952,2019
6894,687,601,2019
2746,493,364,2019
2743,524,396,2019
6579,324,240,2019
7923,213,88,2019
8393,159,103,2019
5338,"2,284","1,424",2019
7681,"1,790",757,2019
7634,637,213,2019
8130,453,346,2019
8439,"1,045",548,2019
1315,743,367,2019
1314,581,324,2019
4807,531,248,2019
4665,458,130,2019
4084,590,169,2019
4085,619,153,2019
4081,277,91,2019
6940,246,144,2019
4442,488,151,2019
4440,335,125,2019
5361,430,142,2019
7675,647,641,2019
0,"1,491",910,2019
8125,841,714,2019
7859,790,161,2019
8206,711,551,2019
6786,384,180,2019
3532,370,126,2019
8286,349,142,2019
8406,855,344,2019
14,594,193,2019
13,442,164,2019
1747,218,65,2019
1752,379,107,2019
1775,265,108,2019
1776,"1,131",266,2019
7414,912,200,2019
1774,385,95,2019
7844,11,8,2019
1797,409,69,2019
3293,"1,054",124,2019
7597,478,70,2019
3286,566,44,2019
3291,747,58,2019
3296,"1,240",163,2019
3295,"1,532",222,2019
3287,626,66,2019
3288,688,101,2019
3289,795,89,2019
3294,"1,060",142,2019
4960,770,140,2019
7212,607,91,2019
3297,"1,012",117,2019
3036,705,306,2019
3037,386,173,2019
4828,485,170,2019
7149,53,53,2019
0,516,370,2019
7291,299,143,2019
7223,510,365,2019
8403,408,272,2019
7549,384,314,2019
8461,393,183,2019
8422,719,261,2019
7953,928,355,2019
2618,"1,002",319,2019
2619,277,106,2019
6733,416,164,2019
8246,972,274,2019
2623,"1,817",553,2019
5114,958,277,2019
2621,335,70,2019
4708,514,131,2019
7383,363,74,2019
2620,320,112,2019
7672,"1,322","1,322",2019
2339,600,280,2019
8066,318,158,2019
8138,374,194,2019
7777,861,575,2019
1898,463,72,2019
1899,406,92,2019
1902,"1,054",231,2019
1901,807,179,2019
1894,335,57,2019
1896,399,61,2019
7929,527,53,2019
1155,765,76,2019
5363,536,34,2019
1158,536,38,2019
1159,"1,038",29,2019
7574,"1,445",633,2019
8360,982,625,2019
8453,889,619,2019
7678,582,490,2019
8259,733,677,2019
8288,626,569,2019
7588,"1,179","1,014",2019
8365,523,497,2019
8208,538,503,2019
8207,"1,276","1,140",2019
8153,822,760,2019
8152,563,478,2019
7961,894,823,2019
7909,755,634,2019
8151,793,751,2019
7910,"1,315","1,050",2019
8427,334,266,2019
7582,"1,001","1,001",2019
4248,511,199,2019
4244,202,73,2019
4249,469,136,2019
6976,367,118,2019
7673,793,530,2019
8400,625,382,2019
6105,"1,005",574,2019
8399,763,579,2019
6672,264,166,2019
1709,253,84,2019
7837,680,258,2019
8008,378,128,2019
5098,"1,220",365,2019
1715,"1,056",365,2019
5021,244,90,2019
1711,257,94,2019
4851,359,115,2019
8257,720,601,2019
3157,536,245,2019
7792,182,89,2019
3158,320,134,2019
6744,462,264,2019
6716,766,124,2019
6845,406,39,2019
3303,388,105,2019
3305,"1,524",218,2019
8139,774,126,2019
5252,442,58,2019
7573,420,50,2019
6208,327,179,2019
3994,276,136,2019
7613,188,106,2019
2423,"1,027",535,2019
8304,809,403,2019
5175,817,219,2019
8005,230,165,2019
1788,431,201,2019
1790,676,320,2019
1785,656,333,2019
7756,480,309,2019
3962,836,361,2019
7799,319,152,2019
3961,566,272,2019
8232,385,220,2019
6566,263,171,2019
0,44,10,2019
8307,375,210,2019
6261,260,144,2019
8182,410,168,2019
8183,213,85,2019
7789,511,383,2019
8184,493,303,2019
8187,"1,165",497,2019
8186,776,384,2019
8185,787,414,2019
3196,244,133,2019
7863,452,211,2019
6809,429,197,2019
4091,620,235,2019
6360,446,214,2019
2053,556,164,2019
2054,620,309,2019
4724,382,180,2019
5329,628,275,2019
4954,576,264,2019
8071,"2,163",867,2019
2059,496,304,2019
7384,530,186,2019
2062,586,318,2019
1793,352,166,2019
6682,192,92,2019
1794,227,98,2019
7064,326,141,2019
1623,296,121,2019
5353,678,415,2019
6863,500,278,2019
3541,615,293,2019
3537,227,119,2019
4836,102,32,2019
6699,514,265,2019
6583,512,218,2019
7108,803,362,2019
8404,256,91,2019
2686,420,159,2019
6635,510,340,2019
4444,395,282,2019
7399,162,111,2019
6181,231,140,2019
6605,639,316,2019
1164,565,244,2019
6674,"1,054",438,2019
7800,569,322,2019
3039,547,295,2019
3040,370,198,2019
0,304,61,2019
8177,902,251,2019
8418,"1,128",310,2019
5017,928,260,2019
5343,643,186,2019
3044,257,55,2019
3042,440,122,2019
3045,610,135,2019
5354,260,101,2019
6421,399,171,2019
4044,590,232,2019
240,563,86,2019
7441,367,77,2019
8347,209,67,2019
7952,208,20,2019
8253,586,183,2019
8254,626,148,2019
4951,"1,178",266,2019
8370,197,102,2019
8112,236,156,2019
8381,436,277,2019
8380,201,144,2019
6929,429,239,2019
1550,403,212,2019
7498,815,591,2019
6936,422,256,2019
8135,259,169,2019
4454,94,46,2019
4458,595,237,2019
7791,326,155,2019
4455,483,209,2019
4457,474,193,2019
2295,85,45,2019
2297,315,202,2019
7944,399,224,2019
7733,233,111,2019
2291,260,153,2019
7339,495,234,2019
4049,430,168,2019
249,264,37,2019
251,308,38,2019
248,367,50,2019
250,310,20,2019
7535,638,70,2019
246,440,63,2019
247,321,15,2019
7534,674,100,2019
254,"1,792",247,2019
245,426,63,2019
8006,913,646,2019
4919,"1,105",696,2019
6610,988,578,2019
827,"1,011",667,2019
7546,263,148,2019
3048,474,201,2019
3047,510,223,2019
8054,365,52,2019
8055,360,73,2019
3495,"1,549",308,2019
8053,"1,094",250,2019
3494,800,168,2019
8056,611,190,2019
5154,579,80,2019
7128,653,216,2019
1069,468,178,2019
7380,"1,334",396,2019
1071,509,196,2019
6455,"2,611",758,2019
1077,927,319,2019
1076,756,279,2019
1072,437,150,2019
8374,758,217,2019
2689,581,127,2019
2688,633,158,2019
6720,622,479,2019
695,419,282,2019
694,291,219,2019
2701,76,67,2019
8319,771,626,2019
8284,732,531,2019
2704,761,439,2019
7164,763,588,2019
7762,161,41,2019
7649,"1,549",858,2019
1084,487,41,2019
1082,242,28,2019
7561,332,36,2019
7830,296,27,2019
8321,322,219,2019
4466,180,108,2019
8322,599,449,2019
8323,823,536,2019
5260,451,228,2019
7930,313,124,2019
