school_number,number_of_students,number_of_low_income_students,year
1138,419,238,2018
1142,307,115,2018
1184,238,85,2018
6999,932,355,2018
7290,659,323,2018
7221,319,160,2018
8051,129,61,2018
6939,140,68,2018
4203,264,122,2018
7347,548,246,2018
1199,331,150,2018
5212,434,143,2018
1299,232,125,2018
1298,302,133,2018
7509,343,56,2018
1682,417,67,2018
1678,293,43,2018
1680,280,26,2018
4211,311,34,2018
4217,"1,662",390,2018
7217,823,211,2018
7216,414,102,2018
4938,254,36,2018
8397,738,186,2018
7764,438,126,2018
4937,442,164,2018
4214,259,42,2018
5303,451,239,2018
988,434,204,2018
0,341,133,2018
8278,186,29,2018
4870,393,156,2018
0,546,267,2018
2420,683,407,2018
7457,804,482,2018
5109,662,327,2018
1692,399,163,2018
1694,"1,526",425,2018
1689,458,170,2018
1691,399,297,2018
7011,602,228,2018
1683,259,146,2018
1690,348,151,2018
1686,236,142,2018
1687,214,55,2018
7010,596,230,2018
79,585,283,2018
77,412,226,2018
78,334,145,2018
7315,518,277,2018
7112,332,159,2018
8345,233,117,2018
2797,494,320,2018
2798,460,257,2018
6593,528,338,2018
8222,736,207,2018
7271,659,257,2018
7274,638,259,2018
5007,803,439,2018
1040,"1,787",650,2018
8200,780,363,2018
7726,145,113,2018
4683,594,201,2018
7796,727,42,2018
1044,461,32,2018
1081,853,82,2018
5133,"1,554",142,2018
7790,"1,730",183,2018
1043,"1,466",211,2018
7435,515,32,2018
4852,482,55,2018
1048,415,21,2018
7653,902,160,2018
5307,"1,011",70,2018
7520,521,24,2018
1047,536,26,2018
1041,917,105,2018
1057,412,51,2018
7654,759,64,2018
5306,437,47,2018
1042,848,137,2018
1131,647,80,2018
7715,906,97,2018
4678,888,62,2018
1132,563,78,2018
6646,460,181,2018
1208,539,169,2018
1202,390,136,2018
1205,219,89,2018
7201,700,242,2018
5390,612,199,2018
1619,568,133,2018
1744,795,547,2018
1746,"1,507",954,2018
7820,867,217,2018
1745,"1,774",454,2018
1812,235,144,2018
7306,320,210,2018
1777,451,125,2018
6783,775,263,2018
1791,279,67,2018
1782,408,171,2018
1781,665,315,2018
1795,250,174,2018
1778,673,190,2018
1779,371,262,2018
1811,411,266,2018
1780,779,568,2018
1742,554,372,2018
5320,424,317,2018
1817,342,81,2018
2248,526,294,2018
6252,253,122,2018
7734,247,127,2018
6010,394,178,2018
7476,738,365,2018
5118,535,205,2018
0,49,21,2018
4967,719,313,2018
7720,139,103,2018
5094,425,207,2018
0,293,0,2018
8045,514,149,2018
8044,680,200,2018
8043,567,165,2018
8046,541,157,2018
6172,"1,033",499,2018
4545,"1,859",551,2018
4544,892,314,2018
4537,523,289,2018
4540,656,287,2018
4539,617,132,2018
7696,698,231,2018
5088,500,201,2018
7552,88,29,2018
8047,625,490,2018
2192,269,201,2018
8244,679,256,2018
2190,"1,120",582,2018
6615,"1,100",640,2018
2191,"2,096",976,2018
4825,260,123,2018
6273,492,264,2018
2208,276,140,2018
2215,258,109,2018
6274,606,393,2018
2225,150,86,2018
8375,164,91,2018
8324,173,100,2018
2209,470,184,2018
2216,299,133,2018
2196,278,251,2018
7258,682,429,2018
4715,441,230,2018
7157,369,211,2018
7578,614,614,2018
6706,983,307,2018
7415,728,234,2018
94,715,241,2018
7445,838,226,2018
4234,612,239,2018
4235,516,201,2018
5250,675,232,2018
3250,450,173,2018
3260,"1,285",436,2018
3257,733,248,2018
3256,423,127,2018
3252,348,138,2018
3255,362,106,2018
8258,638,391,2018
7514,93,88,2018
7539,"4,339","4,112",2018
0,938,481,2018
7292,966,408,2018
7860,872,442,2018
7293,402,128,2018
6492,994,886,2018
8020,422,338,2018
1958,378,338,2018
8303,435,408,2018
1829,291,275,2018
8302,407,330,2018
730,290,156,2018
729,524,276,2018
732,547,242,2018
1843,330,179,2018
7276,"1,019",715,2018
1849,954,605,2018
5322,315,142,2018
1847,308,243,2018
1893,304,235,2018
7575,899,400,2018
8262,368,39,2018
7727,556,326,2018
7371,423,393,2018
8094,390,342,2018
5217,405,205,2018
1475,360,142,2018
6909,344,187,2018
1480,381,140,2018
1479,456,217,2018
7374,410,273,2018
921,401,223,2018
8315,"1,145",588,2018
6236,"1,001",381,2018
5276,363,201,2018
1376,406,274,2018
8415,92,46,2018
5012,910,356,2018
8416,925,493,2018
1374,396,244,2018
8414,50,0,2018
1375,491,260,2018
6473,355,203,2018
1370,738,496,2018
7334,422,270,2018
7767,341,242,2018
6474,533,307,2018
2510,419,148,2018
6289,739,273,2018
6290,971,294,2018
2506,510,198,2018
5053,429,144,2018
7628,"2,952","1,083",2018
0,"1,715",898,2018
7143,792,202,2018
5077,"1,142",293,2018
3261,186,79,2018
4711,567,136,2018
3333,"1,520",342,2018
3332,495,96,2018
3411,419,39,2018
2515,379,216,2018
8326,387,243,2018
7056,540,363,2018
5178,637,320,2018
6122,211,97,2018
7450,241,151,2018
7774,"8,761","4,647",2018
7510,"1,218","1,099",2018
3977,384,186,2018
3978,530,224,2018
5213,373,188,2018
5136,333,175,2018
2517,487,116,2018
2532,"1,345",458,2018
5113,694,282,2018
2531,623,229,2018
2522,426,218,2018
2521,610,279,2018
6268,559,244,2018
7822,900,432,2018
6267,583,270,2018
6898,612,261,2018
17,"1,206",447,2018
8224,635,330,2018
8225,331,184,2018
6132,350,201,2018
6133,318,205,2018
8226,277,170,2018
6643,440,325,2018
2097,409,207,2018
2105,"1,039",651,2018
5228,"1,200",661,2018
5048,579,363,2018
2172,357,215,2018
4939,517,406,2018
7284,430,128,2018
777,885,330,2018
7651,820,273,2018
5203,427,203,2018
6944,304,301,2018
8087,263,263,2018
4800,"1,569",537,2018
6301,"1,141",449,2018
6302,547,152,2018
2728,628,268,2018
2729,595,215,2018
7300,418,225,2018
1998,625,367,2018
1997,438,297,2018
7793,482,303,2018
8311,476,313,2018
3868,384,208,2018
3869,367,147,2018
1088,612,64,2018
5096,"1,647",159,2018
7749,"2,039",282,2018
1086,766,58,2018
7208,567,49,2018
4680,342,34,2018
8447,979,105,2018
7657,612,45,2018
7432,726,65,2018
6453,801,52,2018
1087,399,42,2018
5308,447,71,2018
1130,674,22,2018
1133,231,10,2018
4098,509,243,2018
6595,621,314,2018
5037,392,174,2018
1632,396,143,2018
1651,417,273,2018
1654,849,399,2018
1653,409,229,2018
1650,319,178,2018
1645,343,263,2018
7194,363,170,2018
5179,511,247,2018
8446,"1,340",216,2018
2858,642,135,2018
5341,802,168,2018
7624,105,102,2018
5277,981,0,2018
1701,"2,735",539,2018
6714,986,237,2018
4849,"1,221",234,2018
1700,434,74,2018
5020,488,66,2018
1697,368,158,2018
1698,499,114,2018
1696,522,56,2018
1699,455,93,2018
1695,554,143,2018
8438,869,164,2018
6238,536,261,2018
1529,480,226,2018
2868,489,133,2018
5150,606,151,2018
2869,801,184,2018
7596,620,159,2018
8132,"1,544",518,2018
6598,"1,052",355,2018
4553,"1,927",560,2018
4546,190,98,2018
4701,155,36,2018
4547,457,103,2018
4551,564,203,2018
4549,444,145,2018
4810,"1,117",267,2018
8285,726,215,2018
7544,802,227,2018
8007,617,149,2018
3424,541,169,2018
3425,671,171,2018
8201,570,191,2018
4833,520,184,2018
7627,45,0,2018
5278,"1,016",607,2018
